交通类型代码,交通类型中文,service_id,date,exception_type
4,轮渡,1,20260101,2
4,轮渡,1,20260102,2
4,轮渡,1,20260303,2
4,轮渡,1,20260406,2
4,轮渡,1,20260413,2
4,轮渡,1,20260414,2
4,轮渡,1,20260415,2
4,轮渡,1,20260501,2
4,轮渡,1,20260504,2
4,轮渡,1,20260531,2
4,轮渡,1,20260603,2
4,轮渡,1,20260728,2
4,轮渡,1,20260729,2
4,轮渡,1,20260730,2
4,轮渡,1,20260812,2
4,轮渡,1,20261013,2
4,轮渡,1,20261023,2
4,轮渡,1,20261205,2
4,轮渡,1,20261207,2
4,轮渡,1,20261210,2
4,轮渡,1,20261231,2
4,轮渡,2,20260101,1
4,轮渡,2,20260102,1
4,轮渡,2,20260303,1
4,轮渡,2,20260406,1
4,轮渡,2,20260413,1
4,轮渡,2,20260414,1
4,轮渡,2,20260415,1
4,轮渡,2,20260501,1
4,轮渡,2,20260504,1
4,轮渡,2,20260531,1
4,轮渡,2,20260603,1
4,轮渡,2,20260728,1
4,轮渡,2,20260729,1
4,轮渡,2,20260730,1
4,轮渡,2,20260812,1
4,轮渡,2,20261013,1
4,轮渡,2,20261023,1
4,轮渡,2,20261205,1
4,轮渡,2,20261207,1
4,轮渡,2,20261210,1
4,轮渡,2,20261231,1
4,轮渡,4,20260101,2
4,轮渡,4,20260102,2
4,轮渡,4,20260303,1
4,轮渡,4,20260406,1
4,轮渡,4,20260413,2
4,轮渡,4,20260414,2
4,轮渡,4,20260415,2
4,轮渡,4,20260501,1
4,轮渡,4,20260504,1
4,轮渡,4,20260531,1
4,轮渡,4,20260603,1
4,轮渡,4,20260728,1
4,轮渡,4,20260729,1
4,轮渡,4,20260730,1
4,轮渡,4,20260812,1
4,轮渡,4,20261013,1
4,轮渡,4,20261023,1
4,轮渡,4,20261205,1
4,轮渡,4,20261207,1
4,轮渡,4,20261210,1
4,轮渡,4,20261231,2
