交通类型代码,交通类型中文,zone_id,stop_id,stop_name,stop_name_泰文,stop_name_英文,票价规则引用次数,映射状态
4,轮渡,92,92,ท่าเรือสาทร;Sathon (Taksin) Pier,ท่าเรือสาทร,Sathon (Taksin) Pier,58,已匹配stops.zone_id
4,轮渡,93,93,ท่าเรือโอเรียนเต็ล (ปิดปรับปรุง);Prietal Pier (Close),ท่าเรือโอเรียนเต็ล (ปิดปรับปรุง),Prietal Pier (Close),58,已匹配stops.zone_id
4,轮渡,94,94,ท่าเรือสี่พระยา;Si Phraya Pier,ท่าเรือสี่พระยา,Si Phraya Pier,58,已匹配stops.zone_id
4,轮渡,95,95,ท่าเรือกรมเจ้าท่า;Marine Department Pier,ท่าเรือกรมเจ้าท่า,Marine Department Pier,58,已匹配stops.zone_id
4,轮渡,96,96,ท่าเรือราชวงศ์;Rajchawongse Pier,ท่าเรือราชวงศ์,Rajchawongse Pier,58,已匹配stops.zone_id
4,轮渡,97,97,ท่าเรือสะพานพุทธ;Memorial Bridge Pier,ท่าเรือสะพานพุทธ,Memorial Bridge Pier,58,已匹配stops.zone_id
4,轮渡,98,98,ท่าเรือปากคลองตลาด (ยอดพิมาน);YodpimanRiver Walk Pier,ท่าเรือปากคลองตลาด (ยอดพิมาน),YodpimanRiver Walk Pier,58,已匹配stops.zone_id
4,轮渡,99,99,ท่าเรือราชินี;Rajinee Pier,ท่าเรือราชินี,Rajinee Pier,58,已匹配stops.zone_id
4,轮渡,101,101,ท่าเรือท่าช้าง;Tha Chang Pier,ท่าเรือท่าช้าง,Tha Chang Pier,58,已匹配stops.zone_id
4,轮渡,102,102,ท่าเรือพรานนก (วังหลัง);Wang Lang Pier,ท่าเรือพรานนก (วังหลัง),Wang Lang Pier,58,已匹配stops.zone_id
4,轮渡,103,103,ท่าเรือรถไฟ;Thonburi Railway Pier,ท่าเรือรถไฟ,Thonburi Railway Pier,58,已匹配stops.zone_id
4,轮渡,104,104,ท่าเรือพระปิ่นเกล้า;Phra Pin Klao Bridge Pier,ท่าเรือพระปิ่นเกล้า,Phra Pin Klao Bridge Pier,58,已匹配stops.zone_id
4,轮渡,105,105,ท่าเรือพระอาทิตย์;Phra Arthit Pier,ท่าเรือพระอาทิตย์,Phra Arthit Pier,58,已匹配stops.zone_id
4,轮渡,106,106,ท่าเรือสะพานพระราม 8;Rama 8 Bridge Pier,ท่าเรือสะพานพระราม 8,Rama 8 Bridge Pier,58,已匹配stops.zone_id
4,轮渡,107,107,ท่าเรือเทเวศน์;Thewej Pier,ท่าเรือเทเวศน์,Thewej Pier,58,已匹配stops.zone_id
