交通类型代码,交通类型中文,stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding,stop_name_泰文,stop_name_英文,分类依据
UNKNOWN,未分类／关联异常,469,หมู่บ้านจามจุรี หนองจอก;Muban Cham Churi Nong Chok,13.850150828571783,100.88336482644081,469,1,หมู่บ้านจามจุรี หนองจอก,Muban Cham Churi Nong Chok,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,721,"บริษัทออโตแพคจำกัด;Autopack Co.,Ltd.",13.730817805,100.29939886,721,1,บริษัทออโตแพคจำกัด,"Autopack Co.,Ltd.",未被行程或票价规则引用
UNKNOWN,未分类／关联异常,722,ตรงข้ามอู่วิริยะ;Bunsong Car Care (Opposie),13.72456314,100.2989851,722,1,ตรงข้ามอู่วิริยะ,Bunsong Car Care (Opposie),未被行程或票价规则引用
UNKNOWN,未分类／关联异常,758,โรงเรียนบ้านใหม่พัฒนา;Ban Mai Pattana School,13.9581231238146,100.550837796737,758,1,โรงเรียนบ้านใหม่พัฒนา,Ban Mai Pattana School,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,763,ตรงข้ามโรงเรียนบ้านใหม่พัฒนา;Ban Mai Pattana School (Opposite),13.95809425075568,100.55053103347346,763,1,ตรงข้ามโรงเรียนบ้านใหม่พัฒนา,Ban Mai Pattana School (Opposite),未被行程或票价规则引用
UNKNOWN,未分类／关联异常,772,แยกอรุณอัมรินทร์(บริษัทสุราบางยี่ขัน);Arun Ammarin Intersection,13.769765367,100.48663235,772,1,แยกอรุณอัมรินทร์(บริษัทสุราบางยี่ขัน),Arun Ammarin Intersection,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,850,หมู่บ้านภาสกร 2;Phatsakon 2 Village,13.63379501,100.36633556,850,1,หมู่บ้านภาสกร 2,Phatsakon 2 Village,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,951,หลังแยกบางลำพู;Behind Bang Lamphu intersection,13.762669533,100.49740203,951,1,หลังแยกบางลำพู,Behind Bang Lamphu intersection,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,973,ซอยโพธิ์แก้ว 5;Soi Pho Kaeo 5,13.799846018,100.64040168,973,1,ซอยโพธิ์แก้ว 5,Soi Pho Kaeo 5,未被行程或票价规则引用
UNKNOWN,未分类／关联异常,979,ตรงข้ามสนามฟุตบอลซอยโพธิ์แก้ว;Soccer Field Soi Pho Kaew,13.79970284122745,100.63834369182587,979,1,ตรงข้ามสนามฟุตบอลซอยโพธิ์แก้ว,Soccer Field Soi Pho Kaew,未被行程或票价规则引用
