Google地点ID,业务类别,地点名称,泰文名称,Google主要类型,主要类别,评分,评价数量,完整地址,纬度,经度,县区中文名,乡分区中文名,每周营业时间,电话,官方网站,设施与服务标签,编辑简介,Google地图链接
ChIJLxrEcMie4jARb4KfjpcicvA,酒店住宿,Baiyoke Sky Hotel,โรงแรมใบหยกสกาย,hotel,宾馆,4.3,21557,"222 Ratchaprarop Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.754103,100.540374,拉差贴威县,Thanon Phaya Thai,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 656 3000,http://baiyokesky.baiyokehotel.com/,可预约|适合儿童|外带|无障碍入口|无障碍停车,这家精致酒店位于泰国最高大楼内，内设餐厅、水疗会所和位于 83 楼的酒吧。,https://maps.google.com/?cid=17325948750775943791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJi-YG88We4jARAkpfrYgaG-A,酒店住宿,The Berkeley Hotel Pratunam,เดอะ เบิร์กลีย์ โฮเต็ล ประตูน้ำ,hotel,5 星级酒店,4.6,20002,"559 Ratchaprarop Rd, Makkasan, Ratchathewi, Bangkok 10400泰国",13.750045,100.542952,拉差贴威县,Makkasan,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 309 9999,https://berkeleypratunam.com,适合儿童|无障碍入口|无障碍停车,现代风格的酒店，设有色彩缤纷的客房和套房、多元化的餐厅、水疗中心和屋顶泳池。,https://www.google.com/maps/place/The+Berkeley+Hotel+Pratunam/data=!4m10!3m9!1s0x30e29ec5f306e68b:0xe01b1a88ad5f4a02!5m2!4m1!1i2!8m2!3d13.7500454!4d100.5429516!16s%2Fg%2F1q62f5xnq!19sChIJi-YG88We4jARAkpfrYgaG-A?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJZTiLx92Y4jARaoCZW0M2Zew,酒店住宿,曼谷千禧希尔顿酒店,โรงแรมมิลเลนเนียม ฮิลตัน กรุงเทพฯ,hotel,宾馆,4.6,12974,"123 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600",13.728402,100.509511,空訕縣,Khlong Ton Sai,,+66 2 442 2000,https://www.hilton.com/en/hotels/bkkhitw-millennium-hilton-bangkok/?SEO_id=GMB-APAC-TW-BKKHITW,适合儿童|无障碍入口|无障碍停车,"Plush rooms & suites in a sleek hotel with dining & jazz, plus a rooftop bar, a pool & a spa.",https://maps.google.com/?cid=17034080828526264426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJcf_j1C-Z4jARfDy3FlDr-Wc,酒店住宿,曼谷香格里拉大酒店,โรงแรมแชงกรี-ลา กรุงเทพฯ,hotel,5 星级酒店,4.6,11461,"89 Wat Suan Phlu Alley, Bang Rak, Bangkok 10500泰国",13.721433,100.514245,挽叻县,Bang Rak,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 236 7777,https://shangri-la.com,适合儿童|无障碍入口|无障碍停车,这家高档的河滨酒店内设网球场、水疗会所、2 个室外泳池，以及 9 间餐厅和酒吧。,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89%E5%A4%A7%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e2992fd4e3ff71:0x67f9eb5016b73c7c!5m2!4m1!1i2!8m2!3d13.7214325!4d100.5142446!16s%2Fm%2F012vy02r!19sChIJcf_j1C-Z4jARfDy3FlDr-Wc?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJ69UzUM-e4jARwyvJBkeTbr0,酒店住宿,曼谷阿玛丽水门酒店,อมารี วอเตอร์เกท กรุงเทพฯ,hotel,5 星级酒店,4.6,9908,"847 Phetchaburi Rd, Khwaeng Thanon Phaya Thai, Ratchathewi, Bangkok 10400泰国",13.75092,100.540099,拉差贴威县,Thanon Phaya Thai,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 653 9000,https://amari.com,允许携带宠物|适合儿童|无障碍入口|无障碍停车,这家现代化豪华酒店设有充满活力的国际餐厅、水疗会所和室外游泳池。,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E9%98%BF%E7%8E%9B%E4%B8%BD%E6%B0%B4%E9%97%A8%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e29ecf5033d5eb:0xbd6e934706c92bc3!5m2!4m1!1i2!8m2!3d13.7509196!4d100.5400991!16s%2Fg%2F120_rtq7!19sChIJ69UzUM-e4jARwyvJBkeTbr0?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1
ChIJCWbW7MWY4jARuQATRiSHlA0,酒店住宿,lebua at State Tower,เลอบัว แอท สเตททาวเวอร์,hotel,宾馆,4.4,9475,"1055 Si Lom Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.721484,100.516893,挽叻县,是隆,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 00:00–23:59 | 星期日: 24小时营业,+66 2 624 9999,http://lebua.com/state-tower,适合儿童|无障碍入口|无障碍停车,"Chic accommodations in a swanky tower hotel, plus high-end rooftop dining, a pool & river views.",https://maps.google.com/?cid=978555608910463161&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJf1YJeC-Z4jARNNLn8M9QwMw,酒店住宿,Centara Grand & Bangkok Convention Centre at Central World,เซ็นทาราแกรนด์และบางกอกคอนเวนชันเซ็นเตอร์ เซ็นทรัลเวิลด์,hotel,宾馆,4.6,8170,"999, 99 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330",13.747718,100.538748,巴吞旺县,Pathum Wan,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 100 1234,http://www.centarahotelsresorts.com/centaragrand/cgcw/,适合儿童|无障碍入口|无障碍停车,高档高层酒店，内设室外泳池、网球场、水疗中心、屋顶餐厅和酒吧。,https://maps.google.com/?cid=14753881233295921716&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJpYbWb8aY4jAR5PmlBlsxOoM,酒店住宿,曼谷沙吞颐思殿酒店,โรงแรมเยสิเดียน สาทร กรุงเทพฯ,hotel,宾馆,4.7,8037,"33/1 S Sathon Rd, Yannawa Khet Sathon, Krung Thep Maha Nakhon 10120",13.718424,100.521945,沙吞县,Yan Nawa,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 210 8100,https://www.eastinhotelsresidences.com/eastingrandsathornbangkok/,适合儿童|无障碍入口|无障碍停车,这家高端酒店内设精致客房和套房、时尚酒吧、泳池及 3 间餐厅。,https://maps.google.com/?cid=9455924634641103332&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJWzTYg2Gf4jARnDjWpjqe8cY,酒店住宿,曼谷金浦顿玛莱酒店,โรงแรมคิมป์ตัน มาราย กรุงเทพฯ,hotel,宾馆,4.9,7814,"78 Soi Ton Son, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",13.73768,100.543443,巴吞旺县,Lumphini,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,+66 2 056 9999,https://www.kimptonmaalaibangkok.com/?utm_source=Google&utm_medium=MyBusiness&utm_campaign=Hotel,适合儿童|无障碍入口|无障碍停车,这家时尚高层酒店内设餐厅、位于 40 楼的酒吧、水疗会所、健身房和无边泳池。,https://maps.google.com/?cid=14335413063641348252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ChIJ5S2A5duY4jARy8aLC8dvrqM,酒店住宿,皇家兰花喜来登大酒店,โรงแรมรอยัล ออคิด เชอราตัน,hotel,宾馆,4.4,7545,"2 Charoen Krung 30, Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.729094,100.513904,挽叻县,Bang Rak,,+66 2 266 0123,https://www.marriott.com/en-us/hotels/bkksi-royal-orchid-sheraton-riverside-hotel-bangkok/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,适合儿童|无障碍入口|无障碍停车,高档高层酒店，设有精致的河景客房，以及餐厅、水疗中心和免费轮渡服务。,https://maps.google.com/?cid=11794487374812792523&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
