Google地点ID,地点名称,入住日期,退房日期,入住人数,供应商,是否官方,当前价格数值,原价数值,含税价格数值,币种,价格说明,预订链接
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Booking.com,否,41,,49,USD,免费早餐,https://www.google.com/aclk?sa=L&ai=DChsSEwiyzO6x5cKWAxWPL0QIHcwpOk4YACICCAEQARoCZHo&co=1&ase=2&gclid=EAIaIQobChMIsszuseXClgMVjy9ECB3MKTpOEAoYASABEgKq5vD_BwE&cid=CAASygHkaK1QPnJ0UdFSBKhDs0GtCW3ycItFvzrOu6fJad-jhShOy9X0tD1v6XJxh52dUwWgLJvu2EnXYMfCjYDteOrTxzHATSmLTXOjaLTNju5XRsW55nF-oS-ObFLH4ridBo2emgvKLZ1iZZl_eg-g9hdrX5glUQ11xDYtYZ_r60GHmY9S54v-FEExJ5Pl3ryE2cyZnNmVgnyi4H0tc3RA-lvqVXua6-NpRwFKNwOqzIxgLecRjfG8Myz6-jywPTIvx393n6z1UfwxYp7U&cce=2&category=acrcp_v1_32&sig=AOD64_0xFPdbVKAJhZOEDdApcfFoGYD4Iw&nis=4&adurl
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Agoda,否,48,,51,USD,免费早餐,https://www.google.com/aclk?sa=L&ai=DChsSEwiyzO6x5cKWAxWPL0QIHcwpOk4YACICCAEQBhoCZHo&co=1&ase=2&gclid=EAIaIQobChMIsszuseXClgMVjy9ECB3MKTpOEAoYAiABEgICafD_BwE&cid=CAASygHkaK1QPnJ0UdFSBKhDs0GtCW3ycItFvzrOu6fJad-jhShOy9X0tD1v6XJxh52dUwWgLJvu2EnXYMfCjYDteOrTxzHATSmLTXOjaLTNju5XRsW55nF-oS-ObFLH4ridBo2emgvKLZ1iZZl_eg-g9hdrX5glUQ11xDYtYZ_r60GHmY9S54v-FEExJ5Pl3ryE2cyZnNmVgnyi4H0tc3RA-lvqVXua6-NpRwFKNwOqzIxgLecRjfG8Myz6-jywPTIvx393n6z1UfwxYp7U&cce=2&category=acrcp_v1_32&sig=AOD64_3F8jI2yOwROQrQeADArcPhWqeNmA&nis=4&adurl
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Siri Ratchadamnoen Bangkok Hotel,是,59,,59,USD,,https://www.google.com/travel/lodging/clk?pc=AA80Osxck6PUkTMnVVjanDBNco0KrYM34QKn6J8AG7OZhlGoTgL1kFceZckPN4XXhvYShlc0YbCNjFlSgs2jUFmO_34Suk9vX5Q5QWgASaD1GNwIU1bc7S6eFlU_ryeuLQP60yhwWuTmtZUeJqBBdDY3-GqapTAgg5H3c6JmhJ_bjkMOnqBflpo3hQZRsftppRUC6I0M&pcurl=https://ibe.hoteliers.guru/ibe/google-search-room-rate?hotel_id%3D6258%26check_in%3D2026-09-07%26check_out%3D2026-09-08%26adult%3D2%26children%3D0%26room_id%3D13112%26package_id%3D6096&s=AD1XQnk0TpuJyE5MaR_28sRyULHl
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Bluepillow.com,否,41,,41,USD,,"https://www.google.com/travel/lodging/clk?pc=AA80OswZ74cTjQmXCLEZXwtZwX0hYTZZcVp8DEMlqGfyZNh5eT9oT-wL6e8KcLsSiFuGU3p1BLMaVkJ1qzf-RR2I8Pg-xUac10R1IaiMIN1-yh6FvnZN_zm4dRQINNxoEqOTk7w6f4ODpBzK3LkPHE_RK1yJr_Eijv7vgF7svwL0pu8j6cg2TYxYiBEHgw&pcurl=https://www.bluepillow.com/search/65520a271811a9820ec6a503?begin%3D2026-09-07%26end%3D2026-09-08%26block_id%3D-b,7e5CNn70CASssqVuBqDsdvpR4jTISJUH9whdYSmQnEhXyU6lhJEr4d0bHBQEL-Gp,-bpag-Hotel%26fees%3D6.23%26tax%3D6.23%26total%3D41.42%26adults%3D2%26childs%3D0%26infants%3D0%26childrens%3D0%26country%3DUS%26currency%3DUSD%26language%3Dzh%26source%3Dmapresults%26utm_campaign%3Dhotel%26prid%3Dforeign&s=AD1XQnmxEgU36yWRCPTAx16JOHW4"
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Agoda,否,48,,51,USD,免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80Osx3wExagkT8EsSpHhuvJnKjRUe4fPidAZfdf4h-p2TE7Coz472ZpnwwBUUwyN9SL6_0twHzk68hDbbkRDQdpso8ebA05XH6vnXIi5xlYG-XFsRJMr2hXjVAbG-bJEp88UqnMA1Wy0PetiupV3Yf6myaZ0T7O9X7cXFwhC-fFhjhrdD4FdqTT4NG6H9lLg&pcurl=https://www.agoda.com/zh-zh/partners/partnersearch.aspx?site_id%3D1917614%26CkInDay%3D07%26CkInMonth%3D09%26CkInYear%3D2026%26CkOutDay%3D08%26campaignid%3D%26CkOutMonth%3D09%26CkOutYear%3D2026%26SearchDateType%3Ddefault%26NumberOfAdults%3D2%26LT%3D10%26NumberOfChildren%3D0%26childages%3D%26NumberOfRooms%3D1%26gsite%3Dmapresults%26los%3D1%26PartnerCurrency%3DTHB%26hid%3D46250675%26RoomID%3D741297925%26masterRoomId%3D738673792%26PriceTotal%3D51.00%26PriceTax%3D7.67%26PriceFee%3D4.33%26RatePlan%3D%26UserCountry%3DUS%26Currency%3DUSD%26UserDevice%3Ddesktop%26Verif%3Dfalse%26rr%3Drow_desktop%26audience_list%3D%26mcid%3D28280%26booking_source%3Dcpc%26adType%3D0%26mpt%3DRmcxQlpRaUVQKy9LdlhJUFA2QWtUUmhtZGZVZTRMNzhIOVpwOGM1OWtZOEc4RXJZN3luRE92Q2lpUVlTRTJTNi9YNDl4eGlRdkRDc2RHVWk%26original_rr%3DUS_pull%26gaClickSrc%3D%26clickType%3Dhotel%26lang%3Dzh%26pkgId%3D&s=AD1XQnlxcrP1vwonz643PSYSF3aW
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Booking.com,否,41,,49,USD,免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OswGaCB5dv839Zgh9Iwe21B5VY4Lv3sT5o94WLdOMl_Wv1CbOR_0srLRx63NKAFgdFT08-aNrS6x40uiJ72jJsNONFKNWQGuuvQuqp9HsoDrVD6XeiZCOLLwi6dVR8OdNYiioU93acNElS0hrVaLV7GdULNPeteYxSpAy0i20DXl4uxo6RlvIL-bA50L6LYcvHA-GA&pcurl=https://www.booking.com/searchresults.zh.html?dest_id%3D10822038%26highlighted_hotels%3D10822038%26dest_type%3Dhotel%26checkin%3D2026-09-07%26checkout%3D2026-09-08%26group_adults%3D2%26req_adults%3D2%26show_room%3D1082203802_0_2_1_0%26lang%3Dzh%26selected_currency%3DUSD%26exrt%3D0.03033244%26ext_price_total%3D48.75%26ext_price_tax%3D7.33%26xfc%3DTHB%26hca%3Dm%26group_children%3D0%26req_children%3D0%26%26no_rooms%3D1%26ts%3D1787863914%26edgtid%3DdigAwFEITh68rjPEklGR8g%26efpc%3DSLlaFgeyei8%26utm_source%3Dmetagha%26utm_medium%3Dmapresults%26utm_campaign%3DUS%26utm_term%3Dhotel-10822038%26utm_content%3Ddev-desktop_los-1_bw-10_dow-Monday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-33_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20260907_ppt-Tag%26aid%3D2127489%26label%3Dmetagha-link-MRUS-hotel-10822038_dev-desktop_los-1_bw-10_dow-Monday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-33_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20260907_ppt-Tag&s=AD1XQnkgJcKlUq-mW41cAmPtQd1A
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Tiket.com,否,43,,51,USD,免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OswAy6b8mXgJGTLpD_V34XKN_Tl4fEAnJCRM_DYOgHXPWqBrDA_OhDFandSnJR1tRcLNbKIRhS_2wNGlHEgbp5wcNQSGap0hiaVgEKnc7663Rqdtz7jnYUoqkfL_LcG-WFef97offbfYoH4ajn8h3zORx6Xsuzz8dS0YofL25S9oLXxsiyE&pcurl=https://www.tiket.com/en-us/hotel/thailand/siri-ratchadamnoen-bangkok-hotel-610001696202627144?hotelID%3De6b33386-cbad-462f-a6ba-ca6392f7979b%26checkin%3D2026-09-07%26checkout%3D2026-09-08%26adult%3D2%26country%3DUS%26device%3Ddesktop%26lang%3Den%26isAat%3Dfalse%26utm_source%3Dgoogle-hotel%26utm_term%3De6b33386-cbad-462f-a6ba-ca6392f7979b%26utm_medium%3Daff-meta%26utm_campaign%3DGoogle-Hotel-0023-B2B-none-hotel%26utm_external%3Daff%26tag_meta_id%3D34412887%26tag_meta_type%3Dgoogle-hotel%26isRedirect%3Dtrue%26currency%3DUSD&s=AD1XQnnaKL7i5611YDLR2oP2gxNn
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Trip.com,否,55,,58,USD,免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OsxLc1HRnyCRgGduRsJX2xLWJCVipXB40hBeFtVnRHYGNB_WbzVwcQG6_3W9EsNdNK7KiQYGf39kukF3CdfChb4QMWAtQcO_xuW8liQOqEuqtx1SEZmyc8L9vprIpq2TJ4krD0Q9z0yNJdz13-FmFOgbNQWVEj-DYlR6933O6n5ingFfMqo&pcurl=https://us.trip.com/hotels/redirect?hotelid%3D113054343%26city%3D359%26shoppingid%3DMeSRPZgDGhna%26adult%3D2%26children%3D0%26ages%3D%26checkin%3D2026-09-07%26checkout%3D2026-09-08%26curr%3DUSD%26Allianceid%3D15214%26Sid%3D1209572%26prid%3DLANG_US%26trip_sub1%3D07_09_2026_1_mapresults_113054343_US_desktop_default___0_0-LANG_US-landing%26hpaopts%3Dstand%5BH4sIAAAAAAAA_-Ny5WKSYBJi4mCUsuZ4feTFQ1YhRiODg0IWx0sDOGYwti_9YrqDkekAI9NFRvnW14E79nk4PGR8WCWyzl3R1-EF45u3s24zLmBhlOLxTQ0OCohKd3HPyEtUYNR4eufIFTYPxiA2c2cnJyfTKBkuZk-XIMHcq6sDb92zsJdiDg12UcwNq1237ZGUQxJrap5uaHDGN9EuRiYPxlWMDJ8Y-ZENjDcymMTEaAgAOob3na0AAAA%5Dfgt%5B1%5D%26br%3D58.26%26tf%3D8.77%26display%3Dexavg%26locale%3Den_us%26crn%3D1%26roomid%3D1547313771%26allianceid%3D15214%26sid%3D1209572&s=AD1XQnmJFo-c0MhkmIJzs7-aqLyR
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Expedia.co.th,否,67,,72,USD,免费取消截止日期：9月5日 · 免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OsxwQHc5EZWnCibqY7L_T-G3kIINaO1s2tZls0dN76wCxl6PQ2pUmlo6J89WA9Lm07Mlz2TT4OIHMF1Kkn4ag-d8cH6oak4azDfk1tC0lqr_W0AT7HsVdJxhzsxJQcHo57gz0NoA21wAJn-b9pB_qDO4zWQfM8jJ-xd2mCp3lJRY5YL785myXZwEOWgu2JAN&pcurl=https://www.expedia.co.th/Hotel-Search?selected%3D99276030%26startDate%3D2026-09-07%26endDate%3D2026-09-08%26MDPCID%3DUS.META.HPA.HOTEL-ORGANIC-desktop.HOTEL%26MDPDTL%3DHTL.99276030.20260907.20260908.DDT.10.CID..AUDID..RRID.bex_us_desktop%26adults%3D2%26children%3D%26mctc%3D10%26ct%3Dhotel%26mpg%3DUSD%26mpf%3D71.92%26mpj%3D10.82%26mpr%3D6.11%26mpl%3DUSD%26exp_pg%3Dgoogle%26langid%3Dzh%26ad%3D2%26tp%3D%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_term%3D99276030%26utm_content%3Dmapresults%26utm_campaign%3DHotelAds%26rateplanid%3D392244145%26mpm%3D24%26mpn%3D323570301%26mpo%3DEC%26mpp%3D1&s=AD1XQnl3ynT2zCog_Xf-nvFmYxkV
ChIJ9Yp6nAGZ4jARbKNaFpq2jFI,Siri Ratchadamnoen Bangkok Hotel,2026-09-07,2026-09-08,2,Hotels.com,否,67,,72,USD,免费取消截止日期：9月5日 · 免费早餐,https://www.google.com/travel/lodging/clk?pc=AA80OsyK5ARQa03ECRZPtDBgMSo506IpKksSFItTkyYlg4vTeuP-urklWdrmZhz_dz0DqVWRubtgmzaxv35HM7dTcHGYrAZrDvH1PmnEIFBMBqitfnD50-44vHRrdUdQAzf7BK-WMM7fbtjKVlUBIsY_AjXcXXHrpUErnKIoTrY7qynOVIFId7C2oaBnLBM8-A8&pcurl=https://th.hotels.com/Hotel-Search?selected%3D99276030%26startDate%3D2026-09-07%26endDate%3D2026-09-08%26mdpcid%3DHCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL%26MDPDTL%3DHTL.99276030.20260907.20260908.DDT.10.CID..AUDID.%26adults%3D2%26children%3D%26mctc%3D10%26mpf%3D71.92%26mpg%3DUSD%26mpl%3DUSD%26mpj%3D10.82%26mpr%3D6.11%26rffrid%3Dsem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.99276030USzh-20260907-D-ABW%3D10-camp%3D-aud%3D-N%26rateplanid%3D392244145%26mpm%3D24%26mpn%3D323570301%26mpo%3DEC%26mpp%3D1&s=AD1XQnlJpvlLrWIm5Yp8KR0OJNwF
