清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,房型ID,房型名称,床型,可住人数,面积,楼层,窗户,吸烟政策,房型设施,房型图片数,房型首图URL,房型图片URLs,入住日期,离店日期,来源URL,房型数据性质,采集方法,采集时间
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890722,Deluxe King Suite,1 King bed,3,94-98m²,Floor: 11-17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 94-98m² | Floor: 11-17 | Has window | Non-smoking | Free Wi-Fi,5,https://aw-d.tripcdn.com/images/1mc4d12000gwxwt3b8587.jpg,https://aw-d.tripcdn.com/images/1mc4d12000gwxwt3b8587.jpg | https://aw-d.tripcdn.com/images/1mc1g12000ji1of1r7698.jpg | https://aw-d.tripcdn.com/images/1mc6a12000ji1p9982C3D.jpg | https://aw-d.tripcdn.com/images/1mc2s12000ji1opqzCED6.jpg | https://aw-d.tripcdn.com/images/1mc2f12000ji1pnzpAE20.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890723,Deluxe Twin Suite,2 Single bed,3,94-98m²,Floor: 11-17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 94-98m² | Floor: 11-17 | Has window | Non-smoking | Free Wi-Fi,3,https://aw-d.tripcdn.com/images/1mc3512000ji1s5rl2E3E.jpg,https://aw-d.tripcdn.com/images/1mc3512000ji1s5rl2E3E.jpg | https://aw-d.tripcdn.com/images/1mc4e12000ji1s665CD1A.jpg | https://aw-d.tripcdn.com/images/1mc2j12000ji1s3e858C4.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890724,Premier Suite,1 King bed,3,94-99m²,Floor: 11-17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 94-99m² | Floor: 11-17 | Has window | Non-smoking | Free Wi-Fi,5,https://aw-d.tripcdn.com/images/1mc2z12000ji1s9txB58E.jpg,https://aw-d.tripcdn.com/images/1mc2z12000ji1s9txB58E.jpg | https://aw-d.tripcdn.com/images/1mc3412000ji1s0uqA1D3.jpg | https://aw-d.tripcdn.com/images/1mc3y12000ji1s2278B97.jpg | https://aw-d.tripcdn.com/images/1mc4712000ji1tgoc8202.jpg | https://aw-d.tripcdn.com/images/1mc1812000ji1ros21706.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890726,Corner Suite,1 King bed,3,92m²,Floor: 11-17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 92m² | Floor: 11-17 | Has window | Non-smoking | Free Wi-Fi,5,https://aw-d.tripcdn.com/images/1mc6u12000ji1wrdp6392.jpg,https://aw-d.tripcdn.com/images/1mc6u12000ji1wrdp6392.jpg | https://aw-d.tripcdn.com/images/1mc0o12000ji1vd8hDC5C.jpg | https://aw-d.tripcdn.com/images/1mc4y12000ji1wsm63076.jpg | https://aw-d.tripcdn.com/images/1mc3g12000ji1u8ue3FBB.jpg | https://aw-d.tripcdn.com/images/1mc3j12000ji1wwja7C23.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890727,Premier Corner Suite,1 King bed,3,92m²,Floor: 11-17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 92m² | Floor: 11-17 | Has window | Non-smoking | Free Wi-Fi,3,https://aw-d.tripcdn.com/images/1mc6112000ji1x43b7A82.jpg,https://aw-d.tripcdn.com/images/1mc6112000ji1x43b7A82.jpg | https://aw-d.tripcdn.com/images/1mc2b12000ji1wa2yAB24.jpg | https://aw-d.tripcdn.com/images/1mc5c12000ji1xwe67B56.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,506890728,Terrace Suite,1 King bed,3,114m²,Floor: 17,Has window,Non-smoking,Private bathroom | Bathtub | Refrigerator | TV | Daily housekeeping | 114m² | Floor: 17 | Has window | Non-smoking | Free Wi-Fi,4,https://aw-d.tripcdn.com/images/1mc6o12000ji21m741AED.jpg,https://aw-d.tripcdn.com/images/1mc6o12000ji21m741AED.jpg | https://aw-d.tripcdn.com/images/1mc6g12000ji21ajqF300.jpg | https://aw-d.tripcdn.com/images/1mc3i12000ji21j2s555B.jpg | https://aw-d.tripcdn.com/images/1mc0h12000ji214aeA7B7.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,579261163,Aman Suite,1 King bed,6,566-713m²,Floor: 18,,Non-smoking,Private bathroom | Bathtub | TV | Daily housekeeping | Butler service | 566-713m² | Floor: 18 | Non-smoking | Free Wi-Fi,13,https://aw-d.tripcdn.com/images/1mc3212000teejfkh268B.jpg,https://aw-d.tripcdn.com/images/1mc3212000teejfkh268B.jpg | https://aw-d.tripcdn.com/images/1mc0x12000teejk6m9C56.jpg | https://aw-d.tripcdn.com/images/1mc2r12000teej3463167.jpg | https://aw-d.tripcdn.com/images/1mc2812000teejgarDEC7.jpg | https://aw-d.tripcdn.com/images/1mc6t12000teejhti3E39.jpg | https://aw-d.tripcdn.com/images/1mc6812000teejk6j8E14.jpg | https://aw-d.tripcdn.com/images/1mc7212000teejoxd6A72.jpg | https://aw-d.tripcdn.com/images/1mc5i12000teejiba43DB.jpg | https://aw-d.tripcdn.com/images/1mc5012000teejlrc0CD9.jpg | https://aw-d.tripcdn.com/images/1mc5s12000teejlyhBBCF.jpg | https://aw-d.tripcdn.com/images/1mc4512000teejizrC93E.jpg | https://aw-d.tripcdn.com/images/1mc1j12000teeitadE9AC.jpg | https://aw-d.tripcdn.com/images/1mc0l12000teejlrf72B4.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:36
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,428274369,Superior King Room,1 King bed,2,28-30m²,,Has window,Non-smoking,Private bathroom | Refrigerator | Minibar | Shower | Tea bags | 28-30m² | Has window | Non-smoking | Free Wi-Fi,9,https://aw-d.tripcdn.com/images/1mc1312000lop2mml258C.jpg,https://aw-d.tripcdn.com/images/1mc1312000lop2mml258C.jpg | https://aw-d.tripcdn.com/images/1mc1z12000b8d5z8x3CC4.jpg | https://aw-d.tripcdn.com/images/1mc4j12000b8d607lDDBF.jpg | https://aw-d.tripcdn.com/images/1mc4612000b8d5pit32BC.jpg | https://aw-d.tripcdn.com/images/1mc6z12000b8d5u8g4601.jpg | https://aw-d.tripcdn.com/images/1mc1h12000b8d5hpy0955.jpg | https://aw-d.tripcdn.com/images/0224c12000l5hwfrr48FD.jpg | https://aw-d.tripcdn.com/images/1mc2b12000b8d5hp53C06.jpg | https://aw-d.tripcdn.com/images/0221l12000l5hucz5A8DD.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,428274487,Superior Twin Room,2 Single bed,2,28-30m²,,Has window,Non-smoking,Private bathroom | Refrigerator | Minibar | Shower | Tea bags | 28-30m² | Has window | Non-smoking | Free Wi-Fi,10,https://aw-d.tripcdn.com/images/1mc6512000lop1z988EDD.jpg,https://aw-d.tripcdn.com/images/1mc6512000lop1z988EDD.jpg | https://aw-d.tripcdn.com/images/1mc5c12000b8d5ytr9AE3.jpg | https://aw-d.tripcdn.com/images/1mc0a12000b8d5x9i0D23.jpg | https://aw-d.tripcdn.com/images/1mc6z12000b8d5u8g4601.jpg | https://aw-d.tripcdn.com/images/1mc1h12000b8d5hpy0955.jpg | https://aw-d.tripcdn.com/images/1mc2b12000b8d5hp53C06.jpg | https://aw-d.tripcdn.com/images/1mc5j12000lop2kuqF08B.jpg | https://aw-d.tripcdn.com/images/0226g12000lp0nxofE088.jpg | https://aw-d.tripcdn.com/images/0221l12000l5hucz5A8DD.jpg | https://aw-d.tripcdn.com/images/0225112000b8y8uzn1A40.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,428275450,Deluxe Twin Room,2 Single bed,2,30m²,,Has window,Non-smoking,Private bathroom | Refrigerator | Minibar | Shower | Tea bags | 30m² | Has window | Non-smoking | Free Wi-Fi,8,https://aw-d.tripcdn.com/images/1mc2r12000lop728m844C.jpg,https://aw-d.tripcdn.com/images/1mc2r12000lop728m844C.jpg | https://aw-d.tripcdn.com/images/1mc5c12000b8d5ytr9AE3.jpg | https://aw-d.tripcdn.com/images/1mc3t12000b8d5y862DC7.jpg | https://aw-d.tripcdn.com/images/1mc6x12000lop7pzp50E1.jpg | https://aw-d.tripcdn.com/images/1mc1h12000b8d5hpy0955.jpg | https://aw-d.tripcdn.com/images/1mc4612000b8d5pit32BC.jpg | https://aw-d.tripcdn.com/images/1mc6z12000b8d5u8g4601.jpg | https://aw-d.tripcdn.com/images/1mc5612000b8c7695F5AF.jpg,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,Trip.com公开房型目录（非实时可售/非报价）,Next.js内嵌physicRoomMap,2026-09-06 19:02:40
