清单序号,酒店ID,清单酒店名称,携程详情酒店名称,Trip酒店ID,Trip酒店名称,身份核验,采集状态,房型数量,尝试次数,HTTP状态,失败原因,入住日期,离店日期,请求URL,最终详情URL,采集时间
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),曼谷奈乐安缦(Aman Nai Lert Bangkok),119966068,Aman Nai Lert Bangkok,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-119966068/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:02:36
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),105726959,dusitD2 Samyan Bangkok,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-105726959/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:02:40
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)","曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",1517796,"VIE Hotel Bangkok, MGallery Hotel Collection",酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1517796/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:02:44
9,1489251,曼谷铂尔曼G酒店(Pullman Bangkok Hotel G),曼谷铂尔曼G酒店(Pullman Bangkok Hotel G),1489251,Pullman Bangkok Hotel G,酒店ID与携程详情名称一致,成功,18,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1489251/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1489251/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:10
12,114979037,曼谷素坤逸 39 号雅高TRIBE生活酒店(TRIBE Living Bangkok Sukhumvit 39 by AccorHotels),曼谷素坤逸 39 号雅高TRIBE生活酒店(TRIBE Living Bangkok Sukhumvit 39 by AccorHotels),114979037,TRIBE Living Bangkok Sukhumvit 39 by AccorHotels,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-114979037/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-114979037/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:14
22,1300392,曼谷千禧希尔顿酒店,曼谷千禧希尔顿酒店(Millennium Hilton Bangkok),1300392,Millennium Hilton Bangkok,酒店ID与携程详情名称一致,成功,10,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1300392/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1300392/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:18
23,94954632,曼谷千禧希尔顿酒店,沙吞雅诗阁大使馆酒店(Ascott Embassy Sathorn Bangkok),94954632,Ascott Embassy Sathorn Bangkok,酒店ID与携程详情名称一致,成功,8,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-94954632/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-94954632/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:22
37,13989322,素坤逸塔斯托利亚精选酒店,素坤逸塔斯托利亚精选酒店(Tastoria Collection Sukhumvit),13989322,Tastoria Collection Sukhumvit,酒店ID与携程详情名称一致,成功,7,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-13989322/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-13989322/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:27
46,1378559,曼谷千禧希尔顿酒店,福朋喜来登酒店曼谷素坤逸隆齐酒店(Four Points by Sheraton Bangkok Ploenchit Sukhumvit),1378559,Four Points by Sheraton Bangkok Ploenchit Sukhumvit,酒店ID与携程详情名称一致,成功,15,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-1378559/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-1378559/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:31
47,52752206,曼谷千禧希尔顿酒店,曼谷新通凯宾斯基酒店(Sindhorn Kempinski Hotel Bangkok),52752206,Sindhorn Kempinski Hotel Bangkok,酒店ID与携程详情名称一致,成功,17,1,200,,2026-09-28,2026-09-29,https://us.trip.com/hotels/bangkok-hotel-detail-52752206/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,https://us.trip.com/hotels/bangkok-hotel-detail-52752206/hotel/?locale=en-US&checkin=2026-09-28&checkout=2026-09-29&adult=2&children=0&crn=1&curr=USD,2026-09-06 19:03:35
