采集任务ID,酒店ID,酒店名称,热度等级,标准平台ID,平台名称,原始平台名称,是否官网,平台酒店ID,详情URL模板,入住日期,离店日期,间夜数,成人数,儿童数,房间数,币种,POS,语言,采集通道,采集优先级,刷新周期小时,模板口径状态,模板口径问题,任务状态,不可执行原因,生成批次ID,任务哈希
task_2c1e55dabaff72d7a3859ea3,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-05,2026-09-06,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,2c1e55dabaff72d7a3859ea37ef5d80e873330a3ca23673e9065e0481a1ce103
task_760f137d0b8fcb79f553a495,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-07,2026-09-08,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,760f137d0b8fcb79f553a49514222b44d39ed36a078a93f8550d83e79958cfaa
task_2ee7a0b64cca15a13d27d76f,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-11,2026-09-12,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,2ee7a0b64cca15a13d27d76f940fad9f72636e27c3c190b1a9dafe8fc79a77da
task_e8a91521c3cd9b74576ff5a6,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-18,2026-09-19,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,e8a91521c3cd9b74576ff5a62b2de2db61acaec072e3b684fec38c5cd67700b9
task_ab013a5ae7dafc761e750ce8,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-25,2026-09-26,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,ab013a5ae7dafc761e750ce8e1d0a86fcc173e614ac0012638afae1bf4d1d93b
task_1a29c9ebb46c41deabea911d,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-04,2026-10-05,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,1a29c9ebb46c41deabea911d0194fa9e5234d40af9658cd9903ea18a555dc5c7
task_b4a462a3473ee88fce3e5549,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-19,2026-10-20,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,b4a462a3473ee88fce3e5549c93dd07bc2317f5e900bc3be221097cdf4a64ca6
task_d62d75c372e5375c06c1337c,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-11-03,2026-11-04,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,d62d75c372e5375c06c1337c24748f638f8c8f1b07a7a788116a0cac8406370f
task_e1f1d27cec05e378f90ebd57,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-05,2026-09-06,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,e1f1d27cec05e378f90ebd57c5dce3c83b2911ed136f111a4580960c4524d46c
task_406845e00b47065d3d19d676,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-07,2026-09-08,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,406845e00b47065d3d19d676b4693a4290df32c7acba5911278d263848a9cf30
