酒店ID,酒店入住平台名称,平台酒店ID,房型ID,售卖方案ID,方案序号,早餐,取消政策,确认政策,支付方式,入住人数,原价,当前价,税费,币种,优惠标签,其他权益,库存提示,入住日期,离店日期,最终详情URL,采集方法,采集时间,价格计价单位,税费包含状态,含税总价,每晚含税价,税费估算标记,标准平台ID,汇率来源,汇率时间,页面显示原文,是否可比,不可比原因,采集批次ID,原始留档路径,数据质量等级,异常状态,记录哈希
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_41a7b5e6b2b67a30bc,rate_02f52c55b1d7a0bf6a,1,,,,,,,77,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""77"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,1fd743a797b94efc110ede65aa3fa1acfdc020f6d2cc35da20f088ef8e3ce9da
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_4a3e5095f08917aedf,rate_099e198186ffcd9b92,1,,,,,,,71,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""71"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,2638ab7c15b299198bc5623706c536d16578b6a754031ed9f7180e15923699e2
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_99f06cce32f25dfe02,rate_f137f5983e095bab15,1,,,,,,,69,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""69"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220719-csv-b6ad8bab,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,439e74449aec89b4ffc457f3c854b0980e60f0ff41dda50aa0a1551705ef3cfd
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_cc58b2a803cfee44de,rate_c36e5b2f63fe3d02ab,2,,,,,,,84,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""84"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,4a0d29b5f59713dc5edd19ecde728ada612d0c3e61bf80c9589dc4727cee25bb
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_99f06cce32f25dfe02,rate_f546420a444d8619d7,4,,,,,,,99,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""99"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,53f64d6917be00be241de041ad727676d990f4e43cdbbe765b021de9bc912e55
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_3cd9663958187b2cb4,rate_db534244cc6e045115,3,,,,,,,107,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""107"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,773fd548bad07dc0c2cbd93ec7d5d8febcc1f2f798a8fa408b412de3bd77def0
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_87852e82d817a228c6,rate_e5c2a75476088f40da,1,,,,,,,68,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""68"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,9e5734ef49e94ed83acf7b287645fdfc08255472e39ad17b1f15cb1409f357cb
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_cc58b2a803cfee44de,rate_08bf0e338575e285c6,1,,,,,,,64,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""64"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220856-csv-1db11441,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,9e8dc1046327a472e3662e8ac0b50d1bfd47e3bd3534d4b552a47294147cdd41
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_3cd9663958187b2cb4,rate_5d90463cc5c1fca7bd,1,,,,,,,73,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""73"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220719-csv-b6ad8bab,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,c560726babcc330e85b7d8393e9b856db67bdb47cbfbec16a95ff08b3bf7564e
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_99f06cce32f25dfe02,rate_6932f31d2c0a5ed726,3,,,,,,,98,,USD,,,,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,未知,未知,,,否,stayforlong,,,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""98"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,20260903-220719-csv-b6ad8bab,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店售卖方案.csv,T3,否,cd7ebc8cac762a78e838b908b225f566679706a41b8798ef261c8cf17b9e11c5
