酒店ID,标准平台ID,原始平台名称,是否官网,采集通道,采集优先级,URL解析状态,房型采集状态,房型数量,售卖方案数量,结构核验状态,可达性核验状态,身份核验状态,机器质量等级,是否可进入比价,阻断原因,最近采集时间,采集批次ID,记录哈希
ChIJ-6FuuG6Z4jARsMd39e0lG4w,agoda,Agoda,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,8696b8cac9638ae57144064880839f0675deeff9ede3f5b6e62ff34d48aff7ca
ChIJ-6FuuG6Z4jARsMd39e0lG4w,booking,Booking.com,否,precision,first,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,1f10b43bfd426778d0cd9eea11fcfcf2efb1e5ae3aaca572a84c09ca81d9e2aa
ChIJ-6FuuG6Z4jARsMd39e0lG4w,cheaptickets,CheapTickets.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,9567c1e38ec16dbe7e1916a2c3acbf6f1c9a94349553dbf5069c0f1703c58824
ChIJ-6FuuG6Z4jARsMd39e0lG4w,closest_hotel,Closest Hotel,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,0155e78a18053e7c3db9a576aa709fb2e9b5b67cee5c5eec9eb2483a3aa19dde
ChIJ-6FuuG6Z4jARsMd39e0lG4w,dealbase,dealbase.com,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,c89b829368ee111dd794125abf0ef7f46ef1cc2e565901502d5b71864c6087ba
ChIJ-6FuuG6Z4jARsMd39e0lG4w,easemytrip,EaseMyTrip.com,否,precision,second,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,59d4ea7dc10f057193f9f7aea9a8bac0c959b88b4fb45439f89d6f2d3885b422
ChIJ-6FuuG6Z4jARsMd39e0lG4w,edreams,eDreams,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,fb74dcd9ce5bedaf52e2a6af2a48e8c24ca2f7651c5365f5ac17ac0aa8db30da
ChIJ-6FuuG6Z4jARsMd39e0lG4w,etrip,Etrip.net,否,none,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,269a9d2359c306d322ad1214fc79557456355d72e5bb08dd04f941865b26cc37
ChIJ-6FuuG6Z4jARsMd39e0lG4w,evendo,Evendo,否,none,none,静态详情URL已确认,尚未采集,0,0,通过,已确认,待核验,T1,否,URL结构已固化，尚未取得房型与售卖方案,,20260904-093453-csv-761aec95,2cf31bb35d2f4662311d5986ff4fb20b04e10a7c7634eff5461ef3b6dd450f7e
ChIJ-6FuuG6Z4jARsMd39e0lG4w,expedia,Expedia.com,否,api,none,待浏览器解析,尚未采集,0,0,通过,待确认,待核验,T0,否,稳定URL、平台酒店ID或日期模板尚未同时满足,,20260904-093453-csv-761aec95,cefcc827cbceb2ed566c5b523df36bdbbf1805498cfb4162a72b57c8d8e24431
