酒店ID,标准平台ID,平台标准名称,原始平台名称,是否官网,平台酒店ID,ID来源,平台Slug,平台城市代码,平台入口URL,最终详情URL,详情URL模板,URL形态,固化路径,落地层级,名称指纹,地址指纹,纬度指纹,经度指纹,星级指纹,名称匹配分,坐标匹配分,地址匹配分,身份匹配总分,结构核验状态,可达性核验状态,身份核验状态,数据质量等级,URL解析状态,首次发现时间,最近核验时间,漂移开始时间,采集批次ID,记录哈希
ChIJ-6FuuG6Z4jARsMd39e0lG4w,agoda,Agoda,Agoda,否,546985,upstream_adapter:agoda,,,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay=04&CkInMonth=10&CkInYear=2026&CkOutDay=05&campaignid=&CkOutMonth=10&CkOutYear=2026&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los=1&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay=04&CkInMonth=10&CkInYear=2026&CkOutDay=05&campaignid=&CkOutMonth=10&CkOutYear=2026&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los=1&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,redirect,C,L0,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,b29c91e424a5072a9c7f8b9ead8e9a9b34d9809af4fd9e1536474eeada027be2
ChIJ-6FuuG6Z4jARsMd39e0lG4w,booking,Booking.com,Booking.com,否,778437,upstream_adapter:booking,,778437,https://www.booking.com/searchresults.en.html?dest_id=778437&highlighted_hotels=778437&dest_type=hotel&checkin=2026-10-04&checkout=2026-10-05&group_adults=2&req_adults=2&show_room=&lang=en&selected_currency=USD&exrt=0.03031406&ext_price_total=53.85&ext_price_tax=8.10&xfc=THB&hca=m&group_children=0&req_children=0&&no_rooms=1&ts=1788423705&edgtid=wqo_acRQSACz9c9rFcee9Q&efpc=F3a1Chd2tQp2&utm_source=metagha&utm_medium=mapresults&utm_campaign=US&utm_term=hotel-778437&utm_content=dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-&aid=2127489&label=metagha-link-MRUS-hotel-778437_dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-,https://www.booking.com/searchresults.en.html?dest_id=778437&highlighted_hotels=778437&dest_type=hotel&checkin=2026-10-04&checkout=2026-10-05&group_adults=2&req_adults=2&show_room=&lang=en&selected_currency=USD&exrt=0.03031406&ext_price_total=53.85&ext_price_tax=8.10&xfc=THB&hca=m&group_children=0&req_children=0&&no_rooms=1&ts=1788423705&edgtid=wqo_acRQSACz9c9rFcee9Q&efpc=F3a1Chd2tQp2&utm_source=metagha&utm_medium=mapresults&utm_campaign=US&utm_term=hotel-778437&utm_content=dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-&aid=2127489&label=metagha-link-MRUS-hotel-778437_dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-,https://www.booking.com/searchresults.en.html?dest_id=778437&highlighted_hotels=778437&dest_type=hotel&checkin={checkin}&checkout={checkout}&group_adults=2&req_adults=2&show_room=&lang=en&selected_currency=USD&exrt=0.03031406&ext_price_total=53.85&ext_price_tax=8.10&xfc=THB&hca=m&group_children=0&req_children=0&no_rooms=1&ts=1788423705&edgtid=wqo_acRQSACz9c9rFcee9Q&efpc=F3a1Chd2tQp2&utm_source=metagha&utm_medium=mapresults&utm_campaign=US&utm_term=hotel-778437&utm_content=dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-&aid=2127489&label=metagha-link-MRUS-hotel-778437_dev-desktop_los-1_bw-31_dow-Sunday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20261004_ppt-,redirect,B,L1,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,fc076f841cb6d1c9f01da22021d4f3cec080d0ac0346b398a17b6136ef692e67
ChIJ-6FuuG6Z4jARsMd39e0lG4w,cheaptickets,CheapTickets.com,CheapTickets.com,否,7811824,upstream_adapter:expedia_family,,,https://www.cheaptickets.com/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&MDPCID=CHEAPTICKETS-US.META.HPA.ORGANIC-desktop.HOTEL&langid=1033&adults=2&children=&MDPDTL=htl.7811824.20261004.20261005.DDT.31.CID..AUDID..mapresults&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mctc=10&rateplanid=&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,https://www.cheaptickets.com/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&MDPCID=CHEAPTICKETS-US.META.HPA.ORGANIC-desktop.HOTEL&langid=1033&adults=2&children=&MDPDTL=htl.7811824.20261004.20261005.DDT.31.CID..AUDID..mapresults&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mctc=10&rateplanid=&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,https://www.cheaptickets.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&MDPCID=CHEAPTICKETS-US.META.HPA.ORGANIC-desktop.HOTEL&langid=1033&adults=2&children=&MDPDTL=htl.7811824.20261004.20261005.DDT.31.CID..AUDID..mapresults&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mctc=10&rateplanid=&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,redirect,B,L1,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,c8eb19aec1e4d1e19ef427f941f6c1f2ed13072fb4af18ddb5f046fe46ef7d1d
ChIJ-6FuuG6Z4jARsMd39e0lG4w,closest_hotel,Closest Hotel,Closest Hotel,否,7811824,upstream_adapter:closesthotel,,,https://closesthotel.com/googleRedirMainSearch.php?checkInYear=2026&checkInMonth=10&checkInDay=04&checkOutYear=2026&checkOutMonth=10&checkOutDay=05&numberOfNights=1&numberOfAdults=2&numberOfChildren=0&numberOfGuests=2&hotelID=7811824&roomID=&currency=USD&deviceType=desktop,https://closesthotel.com/googleRedirMainSearch.php?checkInYear=2026&checkInMonth=10&checkInDay=04&checkOutYear=2026&checkOutMonth=10&checkOutDay=05&numberOfNights=1&numberOfAdults=2&numberOfChildren=0&numberOfGuests=2&hotelID=7811824&roomID=&currency=USD&deviceType=desktop,https://closesthotel.com/googleRedirMainSearch.php?checkInYear={checkin_year}&checkInMonth={checkin_month}&checkInDay={checkin_day}&checkOutYear={checkout_year}&checkOutMonth={checkout_month}&checkOutDay={checkout_day}&numberOfNights={nights}&numberOfAdults=2&numberOfChildren=0&numberOfGuests=2&hotelID=7811824&roomID=&currency=USD&deviceType=desktop&nights={nights},redirect,C,L0,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,f2ea1d038a6cb3233834bb9e47c7dac1db093efed7b4ea61c86af013707eff1f
ChIJ-6FuuG6Z4jARsMd39e0lG4w,dealbase,dealbase.com,dealbase.com,否,1974610,upstream_adapter:meta_redirect,,,https://deals.dealbase.com/?sig=d24b78db5ff27b2a7633c125e8c1eb65fcdd29bfbe8d2468da3702f8e475011131373338383435313339&turl=https%3A%2F%2Fwww.dealbase.com%2FHotel%2FSearch%3FcheckIn%3D2026-10-04%26checkOut%3D2026-10-05%26currency%3DUSD%26forceCurrencyChange%3D1%26lang%3Den%26forceLanguageChange%3D1%26rooms%3D2%3A%26utm_source%3Dgha%26utm_medium%3Dcpc%26hotelId%3D1974610%26userCountry%3DUS%26profile%3Dr2d2m73kn8%26preferredRate%3D41.63%26deviceType%3Ddesktop%26label%3Dsrc%253Dgha%2526cltype%253Dhotel%2526datype%253Ddefault%2526gsite%253Dmapresults%2526vf%253D0%2526ucountry%253DUS%2526udevice%253Ddesktop%2526hotel%253D1974610%2526day%253D04%2526month%253D10%2526year%253D2026%2526los%253D1%2526price%253D41.63%2526currency%253DUSD%2526cid%253D%2526listid%253D%2526rateid%253DUS_D%2526closerateid%253D%2526promo%253D0%2526isPrivateRate%253D0%2526isAudienceUser%253D0%2526isPaidClick%253D0%2526%26cp%3DHMPozAlT2y4WEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC0h6NFE0ajR4dmtzKAIw8tnk1AY,https://www.dealbase.com/Hotel/Search?checkIn=2026-10-04&checkOut=2026-10-05&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=1974610&userCountry=US&profile=r2d2m73kn8&preferredRate=41.63&deviceType=desktop&label=src=gha&cltype=hotel&datype=default&gsite=mapresults&vf=0&ucountry=US&udevice=desktop&hotel=1974610&day=04&month=10&year=2026&los=1&price=41.63&currency=USD&cid=&listid=&rateid=US_D&closerateid=&promo=0&isPrivateRate=0&isAudienceUser=0&isPaidClick=0&&cp=HMPozAlT2y4WEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC0h6NFE0ajR4dmtzKAIw8tnk1AY,https://www.dealbase.com/Hotel/Search?checkIn={checkin}&checkOut={checkout}&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=1974610&userCountry=US&profile=r2d2m73kn8&preferredRate=41.63&deviceType=desktop&label=src%3Dgha&cltype=hotel&datype=default&gsite=mapresults&vf=0&ucountry=US&udevice=desktop&hotel=1974610&day=04&month=10&year=2026&los=1&price=41.63&currency=USD&cid=&listid=&rateid=US_D&closerateid=&promo=0&isPrivateRate=0&isAudienceUser=0&isPaidClick=0&cp=HMPozAlT2y4WEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC0h6NFE0ajR4dmtzKAIw8tnk1AY,redirect,C,L0,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,09c687e4d3d0fdd23e068ba734048942d62b1d12bb9b99df70feea3625f34037
ChIJ-6FuuG6Z4jARsMd39e0lG4w,easemytrip,EaseMyTrip.com,EaseMyTrip.com,否,EMTHOTEL-1009708,upstream_adapter:easemytrip,,,https://www.easemytrip.com/hotels/metasearch.aspx?hotelID=EMTHOTEL-1009708&checkinDay=04&checkinMonth=10&checkinYear=2026&nights=1&adlts=2&p=45.77|7.25|USD&pl=US|desktop&curr=USD&clickId=&wlcode=Google&children=0,https://www.easemytrip.com/hotels/metasearch.aspx?hotelID=EMTHOTEL-1009708&checkinDay=04&checkinMonth=10&checkinYear=2026&nights=1&adlts=2&p=45.77|7.25|USD&pl=US|desktop&curr=USD&clickId=&wlcode=Google&children=0,https://www.easemytrip.com/hotels/metasearch.aspx?hotelID=EMTHOTEL-1009708&checkinDay={checkin_day}&checkinMonth={checkin_month}&checkinYear={checkin_year}&nights={nights}&adlts=2&p=45.77|7.25|USD&pl=US|desktop&curr=USD&clickId=&wlcode=Google&children=0,redirect,B,L1,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,bd007fdc86059c4fe98a5e25e1af93535fef3123305ccc100c3d62f0b0bdf281
ChIJ-6FuuG6Z4jARsMd39e0lG4w,edreams,eDreams,eDreams,否,7811824,upstream_adapter:expedia_family,,,https://accommodation.edreams.net/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&adults=2&children=&mpf=44.09&cur=USD&mpj=7.25&MDPCID=eDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL&mpl=USD&numberOfRooms=1&locale=en_US&rffrid=h4p.hcom.US.ghaodigeo.000.000.kwrd=&pos=EDREAMS_US&rateplanid=&mctc=10&utm_medium=metasearch&utm_campaign=454295&utm_term=hotel&utm_source=FREEBOOKING,https://accommodation.edreams.net/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&adults=2&children=&mpf=44.09&cur=USD&mpj=7.25&MDPCID=eDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL&mpl=USD&numberOfRooms=1&locale=en_US&rffrid=h4p.hcom.US.ghaodigeo.000.000.kwrd=&pos=EDREAMS_US&rateplanid=&mctc=10&utm_medium=metasearch&utm_campaign=454295&utm_term=hotel&utm_source=FREEBOOKING,https://accommodation.edreams.net/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&adults=2&children=&mpf=44.09&cur=USD&mpj=7.25&MDPCID=eDreams-US.DPS.Edreams.MetaSearch-GHA.HOTEL&mpl=USD&numberOfRooms=1&locale=en_US&rffrid=h4p.hcom.US.ghaodigeo.000.000.kwrd%3D&pos=EDREAMS_US&rateplanid=&mctc=10&utm_medium=metasearch&utm_campaign=454295&utm_term=hotel&utm_source=FREEBOOKING,redirect,B,L1,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,45a88cd27f1d4a32c1e156430ea41523757abec25dd7aad616a749268aeaec2a
ChIJ-6FuuG6Z4jARsMd39e0lG4w,etrip,Etrip.net,Etrip.net,否,1974610,upstream_adapter:meta_redirect,,,https://deals.etrip.net/?sig=e9cc68956712e1e5d60f579a67e54afadd83f5d631dc9782cc50d47864de2f2c2d32303330363031313335&turl=https%3A%2F%2Fsearch.etrip.net%2FHotel%2FSearch%3FcheckIn%3D2026-10-04%26checkOut%3D2026-10-05%26currency%3DUSD%26forceCurrencyChange%3D1%26lang%3Den%26forceLanguageChange%3D1%26rooms%3D2%3A%26utm_source%3Dgha%26utm_medium%3Dcpc%26hotelId%3D1974610%26userCountry%3DUS%26profile%3Dr2d2m73kn8%26preferredRate%3D41.63%26label%3Dsrc%253Dgha%2526cltype%253Dhotel%2526datype%253Ddefault%2526gsite%253Dmapresults%2526vf%253D0%2526ucountry%253DUS%2526udevice%253Ddesktop%2526hotel%253D1974610%2526day%253D04%2526month%253D10%2526year%253D2026%2526los%253D1%2526price%253D41.63%2526currency%253DUSD%2526cid%253D%2526listid%253D%2526rateid%253DUS_D%2526closerateid%253D%2526promo%253D0%2526isPrivateRate%253D0%2526isAudienceUser%253D0%2526isPaidClick%253D0%2526%26cp%3DyrwaCXaRFjUWEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC21KMG1uNXRWRGhBKAIw9-Dk1AY,https://search.etrip.net/Hotel/Search?checkIn=2026-10-04&checkOut=2026-10-05&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=1974610&userCountry=US&profile=r2d2m73kn8&preferredRate=41.63&label=src=gha&cltype=hotel&datype=default&gsite=mapresults&vf=0&ucountry=US&udevice=desktop&hotel=1974610&day=04&month=10&year=2026&los=1&price=41.63&currency=USD&cid=&listid=&rateid=US_D&closerateid=&promo=0&isPrivateRate=0&isAudienceUser=0&isPaidClick=0&&cp=yrwaCXaRFjUWEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC21KMG1uNXRWRGhBKAIw9-Dk1AY,https://search.etrip.net/Hotel/Search?checkIn={checkin}&checkOut={checkout}&currency=USD&forceCurrencyChange=1&lang=en&forceLanguageChange=1&rooms=2:&utm_source=gha&utm_medium=cpc&hotelId=1974610&userCountry=US&profile=r2d2m73kn8&preferredRate=41.63&label=src%3Dgha&cltype=hotel&datype=default&gsite=mapresults&vf=0&ucountry=US&udevice=desktop&hotel=1974610&day=04&month=10&year=2026&los=1&price=41.63&currency=USD&cid=&listid=&rateid=US_D&closerateid=&promo=0&isPrivateRate=0&isAudienceUser=0&isPaidClick=0&cp=yrwaCXaRFjUWEuB1Cg4I7hoY1QUiA1VTRFIBMhIaFdFu34EaC21KMG1uNXRWRGhBKAIw9-Dk1AY,redirect,C,L0,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,8905cdbe56b95212fd799fd490308bb1df266d1960debb9a7a112c66bb9c811c
ChIJ-6FuuG6Z4jARsMd39e0lG4w,evendo,Evendo,Evendo,否,52924090,upstream_adapter:evendo,,,"https://evendo.com/stays/casa-nithra-bangkok/52924090?check_in=2026-10-04&check_out=2026-10-05&who=%5B%7B%22adults%22:2,%22children%22:%5B%5D%7D%5D&currency=USD&language=en&country=US&utm_source=google&utm_medium=googlehotels&utm_campaign=mapresults&pdtax=8.20&pdtotal=54.54&prid=","https://evendo.com/stays/casa-nithra-bangkok/52924090?check_in=2026-10-04&check_out=2026-10-05&who=%5B%7B%22adults%22:2,%22children%22:%5B%5D%7D%5D&currency=USD&language=en&country=US&utm_source=google&utm_medium=googlehotels&utm_campaign=mapresults&pdtax=8.20&pdtotal=54.54&prid=","https://evendo.com/stays/casa-nithra-bangkok/52924090?check_in={checkin}&check_out={checkout}&who=[{%22adults%22:2,%22children%22:[]}]&currency=USD&language=en&country=US&utm_source=google&utm_medium=googlehotels&utm_campaign=mapresults&pdtax=8.20&pdtotal=54.54&prid=",redirect,C,L0,,,,,,,,,,通过,已确认,待核验,T1,静态详情URL已确认,2026-09-06T09:20:48-07:00,2026-09-06T09:20:48-07:00,,20260906-092202-csv-fb22d95c,ff2c44a5f3e023b313f472ecbe8923291592fca77390be7493f031cefe72cdbe
ChIJ-6FuuG6Z4jARsMd39e0lG4w,expedia,Expedia.com,Expedia.com,否,7811824,upstream_adapter:expedia_family,,,https://www.expedia.com/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&MDPCID=US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID..RRID.bex_us_desktop&mctc=10&ct=hotel&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mpl=USD&exp_pg=google&langid=en&ad=2&tp=&utm_source=google&utm_medium=cpc&utm_term=7811824&utm_content=mapresults&utm_campaign=HotelAds&langid=1033&adults=2&children=&rrid=bex_us_desktop&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,https://www.expedia.com/Hotel-Search?selected=7811824&startDate=2026-10-04&endDate=2026-10-05&MDPCID=US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID..RRID.bex_us_desktop&mctc=10&ct=hotel&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mpl=USD&exp_pg=google&langid=en&ad=2&tp=&utm_source=google&utm_medium=cpc&utm_term=7811824&utm_content=mapresults&utm_campaign=HotelAds&langid=1033&adults=2&children=&rrid=bex_us_desktop&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,https://www.expedia.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&MDPCID=US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID..RRID.bex_us_desktop&mctc=10&ct=hotel&mpg=USD&mpf=41.63&mpj=7.25&mpr=4.09&mpl=USD&exp_pg=google&langid=en&ad=2&tp=&utm_source=google&utm_medium=cpc&utm_term=7811824&utm_content=mapresults&utm_campaign=HotelAds&langid=1033&adults=2&children=&rrid=bex_us_desktop&rateplanid=395799804&mpm=24&mpn=200645495&mpo=EC&mpp=1,redirect,B,L1,,,,,,,,,,通过,待确认,待核验,T0,待浏览器解析,2026-09-06T09:20:48-07:00,,,20260906-092202-csv-fb22d95c,78ed390a0f56f95283a4513a641931cd79064cee3efe8d6a8130f77ca6fe474d
