异常ID,严重级别,实体类型,酒店ID,标准平台ID,原始平台名称,实体记录哈希,规则代码,异常描述,证据字段,处理状态,数据质量等级,发现批次ID,发现时间
0207271008e8128c34d5d4cf42edb653c273b4b22c61280ebbf01ecc68da0262,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,8becedd6578845eab30be577146c50e124a703af0a9855f33b5b79c6f6ff317d,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""13.72"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260903-220154-csv-8204aff0,2026-09-03T22:05:57-07:00
074a3d3ec46a06627c84b3b3ede8a646c882258c901ac7d50c21d20493d76afd,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,c35b94e63e50e225db8c7375b3aaada6b17be1a9928d588a862e0158b08a444e,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""17.82"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260906-092202-csv-fb22d95c,2026-09-06T09:52:19-07:00
09e3de9fdbf959217d7bbdb91dead674fa08f52dd51a1aae30cef728a3ec372b,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,9bd22516ecadecfec9be2ec469aba8a33c4e779047b40c1c2808421a6dfa6193,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""17.74"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260903-220154-csv-8204aff0,2026-09-03T22:05:57-07:00
0a99331c914579de813c66c88bab5947796d5464a40518715940f9c942021968,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,43c47baa91346e4fd58e3b848bda4df1494c5fabffcd36174e94bd4576c6363d,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""13.66"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260906-092202-csv-fb22d95c,2026-09-06T09:52:19-07:00
0c00ebe8ac1ea06d8243c80e9fca9746e36836549c6c18b99c65f324d2a769ab,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,bcb0fd9e365de4f7ebce113e25a90b891ba41d95af22d27a22eab2dabcde42bb,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""15.52"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260903-220154-csv-8204aff0,2026-09-03T22:05:57-07:00
0d6a21d3e29a73a7897e1731df4b331595e3d003b6a315bd48e55be7a98230ff,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,62ce10722630daf279b754654196335021bdc6ddf648a55b926019e36b2eacf9,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""21.83"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260906-092202-csv-fb22d95c,2026-09-06T09:52:19-07:00
125ea5d8935ec50f629de5d659557e60ede24c7ebd28259721c72fff673a9946,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,286fcd9a8585427021188df4ed8486a03b2a246c24bd723a11ea4de5090c1f54,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""15.59"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260906-092202-csv-fb22d95c,2026-09-06T09:52:19-07:00
13e73570a255afea533c3c27e96086af3202f1c8e01be7d22f5193eda8df39e2,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,2abc4e60992ec1c2e4b2da4caccc54a818744e40c898dde8929d2f1a3d6b29bc,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""21.49"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260903-220154-csv-8204aff0,2026-09-03T22:05:57-07:00
14ed998ead43f0ca27b9636c86a59ad4c92bcbed027df5b9bc39eed239820088,P0,房型,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,042faa0be0413ec84f7969da27d7265db39e6f5192a463c7accbd2d92901f7e5,bookmybooking_semantic_false_positive,平台专属解析规则修复前，该记录不得进入 T3/T4,Tower Club Suite River View- Lounge Access,待修复,R,20260906-092202-csv-fb22d95c,2026-09-06T09:52:19-07:00
157d5fcd9a6a9de4fa927414a7d9af2faa854451c1ca3bb1dbf63212d8016748,P0,售卖方案,ChIJCWbW7MWY4jARuQATRiSHlA0,bookmybooking,BookMyBooking.com,1ee5045aec987feaa2bf5ba98c674805970c3185f928c46872b53151480d00cb,bookmybooking_semantic_false_positive,当前价格记录来自已知误采区块，不得用于房价比较,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""USD"", ""库存提示"": """", ""当前价"": ""12.66"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",待修复,R,20260903-220154-csv-8204aff0,2026-09-03T22:05:57-07:00
