核验记录ID,酒店ID,酒店名称,标准平台ID,原始平台名称,平台酒店ID,房型ID,房型名称,床型,窗户,面积,楼层,可住人数,房型设施,售卖方案ID,早餐,取消政策,确认政策,支付方式,入住人数,原价,当前价,税费,币种,价格计价单位,税费包含状态,入住日期,离店日期,最终详情URL,页面显示原文,房型质量等级,方案质量等级,系统预判,是否可比,不可比原因,房型记录哈希,方案记录哈希,采集批次ID,人工核验结论,人工核验人,人工核验时间,人工核验备注
de33fc09054b349e1311791daa20b48638805e20b8f6866efe7a0c67a6cb3053,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,2005102302000,2 Bedrooms Corner Club Suite (Corner Room),,,,,2,2 Bedrooms Corner Club Suite (Corner Room),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,2 Bedrooms Corner Club Suite (Corner Room),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,8f530848e63c380b32fe905ae2c5220c9eb8eeda62c84abfd8144ca41673263b,,20260906-092202-csv-fb22d95c,,,,
5a15b03f4182f9b4fb507388fdbedbeb7b544539ffbb0f7b2b2aac0b67edfa72,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,2323002000000,Grand Deluxe Double Room (Full Double Bed) (King Size Bed),,,,,2,Grand Deluxe Double Room (Full Double Bed) (King Size Bed),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Grand Deluxe Double Room (Full Double Bed) (King Size Bed),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,b84970e9eb0eecdf4f31271ec253f357db5d0789d8ab0e6556ebc85e5d44fd0d,,20260906-092202-csv-fb22d95c,,,,
e4bc0181715baf5d7382795030eda3539fed5436bc06ad17aae99d03ae40ebb9,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,232300600000,Deluxe Double Room (Full Double Bed) (King Size Bed),,,,,2,Deluxe Double Room (Full Double Bed) (King Size Bed),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Deluxe Double Room (Full Double Bed) (King Size Bed),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,8d8c0e33fbe43796179c314ac4ffb3ea6ef1fbbcc8171fe7b31f47f5387e62cd,,20260906-092202-csv-fb22d95c,,,,
80bc20baa9d64f37dd6fb686306c6ca99bb677a4a197c722888db3cefca554f5,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,232300700000,Premier Double Room (Full Double Bed) (King Size Bed),,,,,2,Premier Double Room (Full Double Bed) (King Size Bed),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Premier Double Room (Full Double Bed) (King Size Bed),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,321b82b60ab4428e0a6d15e0a52e6f6054e9bb509b0cabfcaa88282467b05d31,,20260906-092202-csv-fb22d95c,,,,
9f367674121840bafa01c33e4b021bed0b30ae3d5a8b2207da8baaa5e829c912,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,2323012000000,Grand Deluxe Skyline View Double Room (Full Double Bed) (King Size Bed),,,,,2,Grand Deluxe Skyline View Double Room (Full Double Bed) (King Size Bed),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Grand Deluxe Skyline View Double Room (Full Double Bed) (King Size Bed),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,87119b369426d60bc17740f97d81b69e4c2b3ea0fd3db0b8e443806c8f56a7f8,,20260906-092202-csv-fb22d95c,,,,
ddf183b0b51775f9d6c0047beca18851679e41ae5c7b98092f635a14bfc5b742,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,232310700000,Premier Club Double Room (Full Double Bed) (Bed Type Is Subject To Availability),,,,,2,Premier Club Double Room (Full Double Bed) (Bed Type Is Subject To Availability),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Premier Club Double Room (Full Double Bed) (Bed Type Is Subject To Availability),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,6a8b642e67358fe439e645fb2b2d1e370e737f878c4a78050dcfd797803e392f,,20260906-092202-csv-fb22d95c,,,,
6b2a0306245385529233d610e7afda9b9d941240cb871e3bd8360f8f38f7af7e,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,2325102301000,"1 Bedroom Corner Club Double Suite (Full Double Bed) (King Size Bed, Corner Room)",,,,,2,"1 Bedroom Corner Club Double Suite (Full Double Bed) (King Size Bed, Corner Room)",,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,"1 Bedroom Corner Club Double Suite (Full Double Bed) (King Size Bed, Corner Room)",R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,afac369c58c20a01a20a05beb33dc3b33d4b48c7196b55e8fa1f18418100dd62,,20260906-092202-csv-fb22d95c,,,,
98044a7fd6a088310af59e6027bf66e823d6746d6457bccbc6ced83eec7ec0b7,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,232510801000,1 Bedroom Executive Club Double Suite (Full Double Bed) (Bed Type Is Subject To Availability),,,,,2,1 Bedroom Executive Club Double Suite (Full Double Bed) (Bed Type Is Subject To Availability),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,1 Bedroom Executive Club Double Suite (Full Double Bed) (Bed Type Is Subject To Availability),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,536144e10740daa4db37376292dcd318bc7afda1a7c2a5ed20000aafaea0472e,,20260906-092202-csv-fb22d95c,,,,
b8c6d2db9633d95d851f08fd1ca0c3fc48127ed1becbb663e487f12cb94e3f14,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,2423002000000,Grand Deluxe Twin Room (Twin Beds),,,,,2,Grand Deluxe Twin Room (Twin Beds),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Grand Deluxe Twin Room (Twin Beds),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,f1d93f52d4a81cd70cb370ec2e5fb89285f19ef68b3bf69b1157ad14b30ff86f,,20260906-092202-csv-fb22d95c,,,,
161472fc011f2dbe1d80610c13a2766ce9aa5d87c485fc64a407080c67902183,ChIJ69UzUM-e4jARwyvJBkeTbr0,曼谷阿玛丽水门酒店,tripening,Tripening Hotels,4662450,242300600000,Deluxe Twin Room (Twin Beds),,,,,2,Deluxe Twin Room (Twin Beds),,,,,,,,,,USD,未知,未知,2026-10-26,2026-10-27,https://www.tripening.com/hotels/th-10-bangkok/4662450-amari-bangkok?checkin-date=2026-10-26&checkout-date=2026-10-27&adults=2&currency=USD&lang=zh&google-package-id=&rate-rule-id=&google-displayed-price=143.52&children=0&google-displayed-tax=0.00&google-displayed-currency=USD&utm_source=google_hotel_ads&utm_medium=free&utm_campaign=gha_property,Deluxe Twin Room (Twin Beds),R,,已隔离,否,未取得售卖方案或尚未通过T4人工复核,1d9fbd8709f191d303c7d251f3232b55ac7db7493cdc2a713f74bee4f5622cd5,,20260906-092202-csv-fb22d95c,,,,
