审核任务ID,标准平台ID,酒店ID,入住日期,离店日期,独立会话序号,匹配运行记录数,实际日期集合,最新采集状态,房型数量,售卖方案数量,匹配运行ID,原始页面留档路径,日期口径状态,证据状态,独立会话证据状态,生成批次ID
6a5e03286174c35a66e4a1b15e461adc341e6693d6cd15fbb174c1f71fe88ecc,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
f8842b4ea769cbe0cf1a43abf2731990ac6bd82a4b493074e6b871e11962e1c9,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
011181f6c25eb04918d8f5b3a061adc48c6add34963c36b18459c8d6e5203376,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
66bb99e8d450e6a15e7763b40c89dcdd3cfbe4b89070ff24414961c8e1d43f99,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
cf4d4522172554df8b5181e364a56948c13ceb8b90df031617e9e0234920fa93,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
43e18fa3b17eff17c31bb2199314fbc20ac5fa0b2d8e6faec8ed7c222aa72d77,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
67975c8746528270add3150ef7ff0901546a14a0895120ad44a394e4f1a76fa0,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-21,2026-09-22,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
6a13650978103f865962659e7044732baa58edbef0a4eaea155d76c750164063,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-21,2026-09-22,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
2cd8c835c5f349a97691c79239bc22803d4885c84b30fd568f50cd144e023ed5,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
e7b22c091ef74f7c01974afa741d0b9c3ab3218494feab645cdb605c13a09ab8,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-10,2026-09-11,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260907-003922-csv-f52bd5d0
