酒店ID,酒店名称,候选平台名称,候选平台ID,来源链接,来源域名,入口专属性,入口状态,平台关系状态,采集优先级,来源字段,问题说明,生成批次ID,记录哈希
ChIJ319yWzCZ4jARQ227axLDjG8,Aesthera Home,Airbnb,airbnb,http://airbnb.com/h/aestherahome,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,74889b051f65e1d867a949d952ffafbec4a8a2fd2babf69ed4ba035f89593dfb
ChIJ7-zpzEOZ4jAR1D-RCmvuFXc,Ma's House - Homestay by Armie,Airbnb,airbnb,https://www.airbnb.com/rooms/1310924329844571880?guests=1&adults=1&s=67&unique_share_id=82843211-254e-44ad-b7d4-8bab2467c26a,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,7d69261e38cf0d2b1d8bd05c98ead92744d71e26f20c70baa2823c6b5d52025d
ChIJEUkeU5qZ4jARTbe8wOF2smM,Baan Lek Tee No.6 (9Yaowarat),Airbnb,airbnb,https://th.airbnb.com/rooms/1464213780084035203?source_impression_id=p3_1754798293_P3NoLNvQe9-HeG-L,th.airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,a5d803056f2c8728d3be60668dd6290755ed7fee117ebce20caf2d411aab9e77
ChIJJ2gd7CGZ4jARhBBdcVT4uGg,Sunfire House,Airbnb,airbnb,https://www.airbnb.com/rooms/1394884395778635021?guests=1&adults=1&s=67&unique_share_id=a34e5384-ed3d-4a73-bd79-49c2cf4501e3,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,43bd3bab8818aaea585d141845669c876b4322d8f4120ee243e42dc53f3cbf5c
ChIJK1JSkPWZ4jARvxGholQPCM0,Eden’s Vert,Airbnb,airbnb,http://airbnb.com/h/edensvert3storey,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,d49f559c9e8b88a94e9b6920d0aa5c4f4a5095255752dbc231c4c81b6a16b3d3
ChIJKy7y3-SZ4jARjqXQVUVYCdI,Bluenest - Sam Yot,Airbnb,airbnb,http://airbnb.com/h/bluenest-samyot,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,d92ae7314f882f8e9b83641920fb393f9ed8ac86b6a0ffbb4a1b7dbfb18d4207
ChIJX8VhAgCZ4jARBS0rzpWNwj0,Bonbnb,Airbnb,airbnb,http://airbnb.com/h/bonbnb,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,d1d407b24bef25f85324a3335496916d898bf7649d70533db57a1027fd636f62
ChIJa2NT0mSZ4jARKMAp8DwGPX8,Moondance House,Airbnb,airbnb,https://www.airbnb.com/rooms/1394870925280193800?guests=1&adults=1&s=67&unique_share_id=290c185c-e32c-48f5-ae32-290441dc5539,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,91112838c79f61b7d250e757fcf8aca3380e7ffec13c55a1a485f6e67fccd678
ChIJfRURHbCZ4jARWtSyp1wH0hw,R5 house,Airbnb,airbnb,https://th.airbnb.com/rooms/24072698,th.airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,d97f936c6809a7a13a36d988256d5238baa861e4a7973fd01afb34fa5acb6761
ChIJp1GADz-Z4jARZWLTbvbNJuc,Aunty thong's house,Airbnb,airbnb,http://airbnb.com/h/auntythong-house,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,2109870bee52dd6b67192eed6d81ab79e83f7ac14609b18876e4b82bffaafb8d
ChIJt_Fcdg-Z4jARCRweSo0LCV0,White Haus - Homestay by Armie,Airbnb,airbnb,https://www.airbnb.com/rooms/1363774694276117715?guests=1&adults=1&s=67&unique_share_id=3d143385-12dc-48d4-a951-e1f8d1924e69,airbnb.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,37000c6de6ae4ec7287a8d92365e80ab4616a85e78e57bc4a360a5987d0f46f3
ChIJ0R1adSGZ4jARLT4M6g3-9zc,"The Luenrit Old Town, Yaowarat(162)",Bluepillow.com,bluepillow,https://www.bluepillow.com/search/67a24408905c444f2d0d9611?dest=ago&cat=Vacation+rental+(other)&lat=13.73987&lng=100.50995&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,9166037fb9468b6d1c0d0dd23d30ef8cdfe5ae6b2c1260eb722fd8599cee2c2c
ChIJ4wd0AhGZ4jARUhyKrq79sOk,RB10 Arun Sa Wad Chinatown 402,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/67a24408905c444f2d0d962a?dest=ago&cat=Vacation+rental+(other)&lat=13.75031&lng=100.49914&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,859800f5441bb948d7910a84c9a23b7f000586b3f143d285d469f8b728765d66
ChIJ52KS_RCZ4jAR_mKqu1JvC2Y,1000/500mbps wifi 850m BTS onnut,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/67a243c2905c444f2d0d25cc?dest=ago&cat=Vacation+rental+(other)&lat=13.75024&lng=100.49913&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,2d4e5a4da6bd5e947637c7c856e02f74d68d559bf1098d757f6d222340b88603
ChIJA2t2xyOZ4jARTQsYZBdor3k,Live Local Cafe Hotel,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/61828dc79e3163a56a2a3701?dest=ago&cat=Vacation+rental+(other)&lat=13.74258&lng=100.51081&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,ff39109a76bbacd6894307e727c26ac92ea4e53defd4570f29f1d95a7c5562c3
ChIJAThQkBCZ4jAR6N8gQCkvAfw,Purple House Family BR Walk to Grand Palace,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/67a23c26905c444f2d06d08c?dest=ago&cat=Vacation+rental+(other)&lat=13.74827&lng=100.49952&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,1df33cce745d345ffdff33e69e93a1317d645bfb461908f1f1c2ee63632164c1
ChIJAyG_xD2Z4jAR6f-Cyh7L7QQ,Victory place 2 (Golden mount) ที่พักส่วนตัว,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/67a2391b905c444f2d051740?dest=ago&cat=Vacation+rental+(other)&lat=13.75194&lng=100.50895&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,aee153d8f2322961f7a9d92cc29b015153cafcdda7f9eaa8eb493a92ec681b17
ChIJES2sPRqZ4jARBkkMS_cNiho,Two Bedrooms Penthouse near Khaosan Road,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/61828dad9e3163a56a2a1efc?dest=ago&cat=Apartment&lat=13.74578&lng=100.50058&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,380d9c7defd79cbb753412ae5496e3d4d0d9d6d272e1e338fe1c5d98d69c279b
ChIJF1OQgRCZ4jARLOlz8RRZB2I,GO INN Temple of the Emerald Buddha-Mrt Samyot Station โกอินน์ วัดพระแก้ว,Bluepillow.com,bluepillow,https://www.bluepillow.com/search/65c9f643671b07d23c692e94?dest=bkng&cat=House&lat=13.74756&lng=100.49898&language=en,bluepillow.com,酒店详情候选,待公开入口探测,未出现在Google Maps所有选项平台关系,高,酒店主数据.官方网站（第三方补采）,来源为酒店主数据官方网站字段中的第三方平台链接；需核对酒店身份、入住日期和末级详情页,20260907-003922-csv-f52bd5d0,0e11a94334f537d595bd7e4c14ce2ccb4457ce7dbae7cc5726c76478f29fb3e2
