核验记录ID,酒店ID,酒店名称,标准平台ID,原始平台名称,平台酒店ID,房型ID,房型名称,床型,窗户,面积,楼层,可住人数,房型设施,售卖方案ID,早餐,取消政策,确认政策,支付方式,入住人数,原价,当前价,税费,币种,价格计价单位,税费包含状态,入住日期,离店日期,最终详情URL,页面显示原文,房型质量等级,方案质量等级,系统预判,是否可比,不可比原因,房型记录哈希,方案记录哈希,采集批次ID,人工核验结论,人工核验人,人工核验时间,人工核验备注
3c3a58301a0c68bc9f99a5233abb8ec677b286bfd6e3aafe39ac36d02d513300,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,5991,10988,Deluxe Room with Temple View (Black Marquina),,,,,2,Deluxe Room with Temple View (Black Marquina),10988:18478,不含早餐,"Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge",,,2,,3020,,THB,入住期间总价,接口未返回税费字段,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=3b6cd4078ef9ccce31d4695e0e2563a8,"{""优惠标签"": """", ""入住人数"": ""2"", ""其他权益"": ""方案：Room Only for 2 persons；Free happy hour icecream Free coffee tea and hot chocolate 24 hrs Free refillable drinking water Free towel soap and shampoo"", ""原价"": """", ""取消政策"": ""Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge"", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3020"", ""支付方式"": """", ""早餐"": ""不含早餐"", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,尚未通过T4人工复核,47f2166ac41188453d791e4b358a23084f58dbec6b894f39247aab2eefe1cd2a,30f6a342a7c423dac300a7e90e5772e1c03d72b1f2c18af4045302678eb234e8,20260907-003922-csv-f52bd5d0,,,,
b526c02e37ada9445eafcc53ecaf307da8c744ac9fe94736d6201ef1bfbcd838,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,5991,10988,Deluxe Room with Temple View (Black Marquina),,,,,2,Deluxe Room with Temple View (Black Marquina),10988:18480,不含早餐,"Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge",,,3,,3368,,THB,入住期间总价,接口未返回税费字段,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=3b6cd4078ef9ccce31d4695e0e2563a8,"{""优惠标签"": """", ""入住人数"": ""3"", ""其他权益"": ""方案：Room Only for 3 persons；Free happy hour icecream Free coffee tea and hot chocolate 24 hrs Free refillable drinking water Free towel soap and shampoo"", ""原价"": """", ""取消政策"": ""Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge"", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3368"", ""支付方式"": """", ""早餐"": ""不含早餐"", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,尚未通过T4人工复核,47f2166ac41188453d791e4b358a23084f58dbec6b894f39247aab2eefe1cd2a,f6fa2107e571d5fc676f24af6b4c04c6aa3b19ef41e51ee88fbfd50871145181,20260907-003922-csv-f52bd5d0,,,,
17ebac13d28d8ae09309d28161bb12a70e664154f3d5f0f91d2fdb04740c6f47,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,5991,10989,Superior Room (Vividtier),,,,,2,Superior Room (Vividtier),10989:18478,不含早餐,"Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge",,,2,,2920,,THB,入住期间总价,接口未返回税费字段,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=3b6cd4078ef9ccce31d4695e0e2563a8,"{""优惠标签"": """", ""入住人数"": ""2"", ""其他权益"": ""方案：Room Only for 2 persons；Free happy hour icecream Free coffee tea and hot chocolate 24 hrs Free refillable drinking water Free towel soap and shampoo"", ""原价"": """", ""取消政策"": ""Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge"", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""2920"", ""支付方式"": """", ""早餐"": ""不含早餐"", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,尚未通过T4人工复核,723f4005b348f9576acdfda6c5df6522a52ee335c2851590cd6e4045cc1f1546,f68f53ea2aa4ddc7f2f9e3b7dfc9e9c257526b02c35352b7e2c433a51d620c55,20260907-003922-csv-f52bd5d0,,,,
523c3274402a3844cd492861fc7560e435e30d09b2e556f9779f68e0ec16ffc3,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,5991,10989,Superior Room (Vividtier),,,,,2,Superior Room (Vividtier),10989:18480,不含早餐,"Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge",,,3,,3215,,THB,入住期间总价,接口未返回税费字段,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=3b6cd4078ef9ccce31d4695e0e2563a8,"{""优惠标签"": """", ""入住人数"": ""3"", ""其他权益"": ""方案：Room Only for 3 persons；Free happy hour icecream Free coffee tea and hot chocolate 24 hrs Free refillable drinking water Free towel soap and shampoo"", ""原价"": """", ""取消政策"": ""Non-Refundable: Anyday 100% charge, Non-Refundable Unable to Modify Staying Date No-show 100% charge"", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3215"", ""支付方式"": """", ""早餐"": ""不含早餐"", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,尚未通过T4人工复核,723f4005b348f9576acdfda6c5df6522a52ee335c2851590cd6e4045cc1f1546,6163451a3eabf8ccd7581f31b278874e9d091487c03a58865815d14d5559b6c1,20260907-003922-csv-f52bd5d0,,,,
22c302f37b6a45a4e81c2029da065a1dbd4f08d45527c395a93d31c8b740f68e,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_182f3feaddb5ab34a3,Price Breakdown,,,,,,Price Breakdown Service List: .currency-note { font-size: .75rem; line-height: 1.25; margin-top: 1em; } AED - Arab Emirate DirhamAUD - Australia DollarCHF - Switzerland FrancCNY - Chinese YuanDKK - Denmark KroueEUR - Euro Member CountriesGBP - UK PoundHKD - Hong Kong DollarIDR - Indonesia RupiahINR - India RupeeJPY - Japan YenKRW - Korean WonLAK - Laotian KipMMK - Myanmar KyatMXN - Mexico PesoMYR - Malaysia RinggitNZD - New Zealand DollarPHP - Philippines PesoRUB - Russia RubleSEK - Sweden KronaSGD - Singapore DollarTHB - Thai BahtTWD - Taiwan New DollarUSD - US DollarVND - Viet Nam Dong The currency that is displaying here is just for your reference only. Total Room Charge ฿ 0.00 Add-On Price ฿ NaN Code applied / booking - ฿ 0.00 Grand Total ฿ 0.00 W/Taxes & Fees,rate_8a3bf58b5ec02e01f2,,,,,,,0.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""0.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,8db21d9e48592c8103729b7389ce72a0942611500d53c195cb6fce2771017649,c1bd95ef20280c1b3674e703fe74a781bfd4997d2a067d4d80a85f803d48456d,20260907-001955-csv-a75a6c42,,,,
d0178d4405c639dd8cf6b8e762f742b06b808e754a4a632f3a4d4edad53f31ce,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_3cd76aafbd09dc28c7,Victora Hostel,,,,,,"Victora Hostel Your Stay Check-in 26 Sep 2026 Check-out 27 Sep 2026 No. of Nights 1 No. of Rooms 1 Edit dates & guests Refine your search Price range: ฿ 2,500 - 3,500 Room Type: Superior Room (Vividtier) Deluxe Room with Temple View (Black Marquina) Rate type: Room Only for 2 persons Room Only for 3 persons",rate_0326712b08b13ed916,,,,,,,3020.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3020.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,80f86dea4e906704b85bd27acb2f08c63316a6673c2c7ad634828607d5a4565e,a8987f96f8089ac8ec9ddc52776f452249405d8ef4792744ceb028050d11cc37,20260907-001955-csv-a75a6c42,,,,
9c4a7569b7390079ddaeae9e3829edabcd33bce1342a4aec9041913c84b8ee20,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_3cd76aafbd09dc28c7,Victora Hostel,,,,,,"Victora Hostel Your Stay Check-in 26 Sep 2026 Check-out 27 Sep 2026 No. of Nights 1 No. of Rooms 1 Edit dates & guests Refine your search Price range: ฿ 2,500 - 3,500 Room Type: Superior Room (Vividtier) Deluxe Room with Temple View (Black Marquina) Rate type: Room Only for 2 persons Room Only for 3 persons",rate_0b2110da6c0162ec96,,,,,,,0.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""0.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,80f86dea4e906704b85bd27acb2f08c63316a6673c2c7ad634828607d5a4565e,4439d056d6f0408aabbdd9471f2cbd45b08f37e89d6e00f9f9ef361429e632c9,20260907-001955-csv-a75a6c42,,,,
bbc5e10789527d342f09a2ee016142ce27966b5f6f71c1857c18983b3774222b,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_3cd76aafbd09dc28c7,Victora Hostel,,,,,,"Victora Hostel Your Stay Check-in 26 Sep 2026 Check-out 27 Sep 2026 No. of Nights 1 No. of Rooms 1 Edit dates & guests Refine your search Price range: ฿ 2,500 - 3,500 Room Type: Superior Room (Vividtier) Deluxe Room with Temple View (Black Marquina) Rate type: Room Only for 2 persons Room Only for 3 persons",rate_3f313df1ef5e9b52a3,,,,,,,3368.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3368.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,80f86dea4e906704b85bd27acb2f08c63316a6673c2c7ad634828607d5a4565e,c282201255560c46bb30a567d69bb1782c8acfbc294c611916a2126fc847d1df,20260907-001955-csv-a75a6c42,,,,
36c69b672006aef32ebd224e53e8d203a290b948b2e424394b73d44e728aeaf2,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_3cd76aafbd09dc28c7,Victora Hostel,,,,,,"Victora Hostel Your Stay Check-in 26 Sep 2026 Check-out 27 Sep 2026 No. of Nights 1 No. of Rooms 1 Edit dates & guests Refine your search Price range: ฿ 2,500 - 3,500 Room Type: Superior Room (Vividtier) Deluxe Room with Temple View (Black Marquina) Rate type: Room Only for 2 persons Room Only for 3 persons",rate_44e6b8613a9ef2594d,,,,,,,3368.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3368.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,80f86dea4e906704b85bd27acb2f08c63316a6673c2c7ad634828607d5a4565e,f207f725f0b96d374a69599b7d961c9ed2be30641edf16465148a43afff1c122,20260907-001955-csv-a75a6c42,,,,
8652661811147b65ca9e435bebe2e33a28af8c66554d46fd69699aa2a14b4e03,ChIJ-Vw_G8yZ4jARHG4N56HvjF4,Victora Hostel,official_other,Victora Hostel,,room_3cd76aafbd09dc28c7,Victora Hostel,,,,,,"Victora Hostel Your Stay Check-in 26 Sep 2026 Check-out 27 Sep 2026 No. of Nights 1 No. of Rooms 1 Edit dates & guests Refine your search Price range: ฿ 2,500 - 3,500 Room Type: Superior Room (Vividtier) Deluxe Room with Temple View (Black Marquina) Rate type: Room Only for 2 persons Room Only for 3 persons",rate_6f6628ecee6445ccb8,,,,,,,3215.00,,THB,未知,未知,2026-09-26,2026-09-27,https://ibe.hoteliers.guru/ibe/en/Victora-Hostel-Phra-Nakhon-Bangkok-TH/search?tid=7803ba2132c6188c868ac0fc85c54a12,"{""优惠标签"": """", ""入住人数"": """", ""其他权益"": """", ""原价"": """", ""取消政策"": """", ""币种"": ""THB"", ""库存提示"": """", ""当前价"": ""3215.00"", ""支付方式"": """", ""早餐"": """", ""确认政策"": """", ""税费"": """"}",T3,T3,待人工核验,否,价格计价单位未确认；税费包含状态未确认；尚未通过T4人工复核,80f86dea4e906704b85bd27acb2f08c63316a6673c2c7ad634828607d5a4565e,f0c8698892ba66135c82241b7c480ce9f7fbbd4ce10694e58ecc0452ca99ee57,20260907-001955-csv-a75a6c42,,,,
