标准平台ID,平台名称,热度等级,关系酒店数,关系记录数,URL已确认数,T1身份数,T2及以上酒店数,T3酒店数,房型数,售卖方案数,采集成功数,登录或验证数,未解析房型数,P0隔离数,可进入比价数,覆盖进度说明,采集批次ID
agoda,Agoda,A,170,170,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
agoda,Agoda,B,116,116,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
agoda,Agoda,S,59,59,3,3,2,2,8,24,2,0,6,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
ascend_travel,Ascend Travel,A,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
ascend_travel,Ascend Travel,B,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
ascend_travel,Ascend Travel,S,4,4,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
asiayo,AsiaYo,A,1,1,1,1,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
asiayo,AsiaYo,B,2,2,2,2,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
asiayo,AsiaYo,S,11,11,11,11,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
best_hotel_deals,Best Hotel Deals,S,1,1,1,1,1,1,16,17,1,0,0,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bluepillow,Bluepillow.com,A,151,151,1,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bluepillow,Bluepillow.com,B,110,110,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bluepillow,Bluepillow.com,S,70,70,4,0,0,0,0,0,0,0,5,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bookhotel_direct,Bookhotel.direct,S,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
booking,Booking.com,A,102,102,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
booking,Booking.com,B,80,80,1,0,0,0,0,0,0,0,1,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
booking,Booking.com,S,54,54,5,0,1,1,11,11,1,0,4,0,0,已取得售卖方案；含T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bookmybooking,BookMyBooking.com,A,3,3,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bookmybooking,BookMyBooking.com,B,1,1,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
bookmybooking,BookMyBooking.com,S,1,1,1,1,0,0,8,52,1,0,0,1,0,已取得售卖方案；暂无T3候选；存在P0隔离,20260907-003922-csv-f52bd5d0
catchit,Catchit.com,A,2,2,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
catchit,Catchit.com,B,5,5,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
catchit,Catchit.com,S,12,12,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
cheaptickets,CheapTickets.com,A,96,96,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
cheaptickets,CheapTickets.com,B,86,86,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
cheaptickets,CheapTickets.com,S,64,64,0,0,0,0,0,0,0,2,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
clicktrip,Clicktrip.com,B,4,4,4,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
clicktrip,Clicktrip.com,S,19,19,15,0,0,0,0,0,0,0,4,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
closest_hotel,Closest Hotel,A,3,3,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
closest_hotel,Closest Hotel,B,3,3,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
closest_hotel,Closest Hotel,S,20,20,0,0,0,0,0,0,0,0,2,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
dealbase,dealbase.com,A,48,48,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
dealbase,dealbase.com,B,40,40,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
dealbase,dealbase.com,S,47,47,3,3,0,0,0,0,0,0,3,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
easemytrip,EaseMyTrip.com,A,91,91,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
easemytrip,EaseMyTrip.com,B,63,63,0,0,0,0,0,0,0,0,0,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
easemytrip,EaseMyTrip.com,S,58,58,0,0,0,0,0,0,0,0,4,0,0,尚无售卖方案；暂无T3候选；无P0隔离,20260907-003922-csv-f52bd5d0
