酒店ID,酒店入住平台名称,平台酒店ID,房型ID,房型名称,房型URL,床型,窗户,面积,楼层,可住人数,加床政策,吸烟政策,网络,剩余数量,房型设施,当前展示价格,币种,入住日期,离店日期,最终详情URL,采集方法,采集时间,标准平台ID,采集批次ID,原始留档路径,数据质量等级,异常状态,记录哈希
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_a5c061e7bdb66c5330,"Junior suite, sky zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $78,,,,2,,,,,"15 Junior suite, sky zone, double or twin bed 2 adults See room details $78 / night $151 $78 (1 night) Fees included Reserve See 3 room options",78,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,27a3cf77b9688950e0001826eaa2982cd3ac4f02cac51f164add43a9753e43f3
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_cc58b2a803cfee44de,"Superior room, standard zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details Fou,,,,2,,,,,"10 Superior room, standard zone, double or twin bed 2 adults See room details Found on $64 / night $124 $64 (1 night) Fees included Reserve $84 / night $164 $84 (1 night) Fees included Reserve View less",64,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,3a3cbf4aa84e3461c0fc4cec37499ca566f2f8bf7e2770cd6b2b697264eb7a96
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_3cd9663958187b2cb4,"Deluxe room, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $73,,,,2,,,,,"5 Deluxe room, double or twin bed 2 adults See room details $73 / night $142 $73 (1 night) Fees included Reserve $106 / night $199 $106 (1 night) Fees included Reserve $107 / night $202 $107 (1 night) Fees included Reserve View less",73,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,55795d1823a5e152a287b74f10ebcf43d28b1cccb83a18351c6c4ba7b0385993
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_32ab231ea813d02ea7,"Superior suite, standard zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $78,,,,2,,,,,"3 Superior suite, standard zone, double or twin bed 2 adults See room details $78 / night $151 $78 (1 night) Fees included Reserve See 3 room options",78,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,67a7d9a602ff4d4d1d64f15bac7c790e5f8a497590b04b91397e2d970067c2ea
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_e0f0ef640caaa4b0f8,"Deluxe room, space zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $78,,,,2,,,,,"14 Deluxe room, space zone, double or twin bed 2 adults See room details $78 / night $151 $78 (1 night) Fees included Reserve See 3 room options",78,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,84444c7e3806033faaeb402d0d999d79a05361f7a90a3c4fb2d65eabfe9cf476
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_4a3e5095f08917aedf,"Junior suite, standard zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $71,,,,2,,,,,"10 Junior suite, standard zone, double or twin bed 2 adults See room details $71 / night $138 $71 (1 night) Fees included Reserve $91 / night $176 $91 (1 night) Fees included Reserve View less",71,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,c34ebd417ecb66193204b47fc194cd1beae10c330e8ff199863c761498dfd403
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_99f06cce32f25dfe02,"Superior room, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $69,,,,2,,,,,"8 Superior room, double or twin bed 2 adults See room details $69 / night $135 $69 (1 night) Fees included Reserve $91 / night $176 $91 (1 night) Fees included Reserve $98 / night $189 $98 (1 night) Fees included Reserve $99 / night $190 $99 (1 night) Fees included Reserve View less",69,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,cfedd7ef97f028eb9cf8ab743e4d43f9cfdfb8af7685c190e861cdf3d1a801ca
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_87852e82d817a228c6,"Deluxe room, sky zone, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $68,,,,2,,,,,"5 Deluxe room, sky zone, double or twin bed 2 adults See room details $68 / night $133 $68 (1 night) Fees included Reserve $91 / night $176 $91 (1 night) Fees included Reserve View less",68,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,d008aa37873a7fbad69495b06724e68147cc1abb2556561c185815df37f231d7
ChIJLxrEcMie4jARb4KfjpcicvA,Stayforlong.com,22451,room_41a7b5e6b2b67a30bc,"Junior suite, double or twin bed",https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?adclick=free&adults=2&aid=gha&ch=0&checkIn=2026-09-23&checkOut=2026-09-24&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&query_type=pull&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source=meta&source_property_id=22451&total=68,twin bed 2 adults See room details $77,,,,2,,,,,"18 Junior suite, double or twin bed 2 adults See room details $77 / night $149 $77 (1 night) Fees included Reserve $106 / night $199 $106 (1 night) Fees included Reserve $107 / night $202 $107 (1 night) Fees included Reserve View less",77,USD,2026-09-23,2026-09-24,https://www.stayforlong.com/us-en/hotel/th/baiyoke-sky-hotel_bangkok?checkIn=2026-09-23&checkOut=2026-09-24&adults=2&aid=gha&total=68&query_type=pull&ch=0&adclick=free&defaultdate=true&googlesite=mapresults&p=4f6b46716145b682b89cdf6f7f778bcf&rate_token=v2.z6a99306a00b44cb1e76b4c5ab05dad20&source_property_id=22451&source=meta,stayforlong,2026-09-03T07:19:56-07:00,stayforlong,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,db0209572286ca314ac23578cf0bb01a3110216e958d893c26c069ffdd29be83
ChIJLxrEcMie4jARb4KfjpcicvA,Trip.com,700948,1574430827,Superior Room Standard Zone,https://us.trip.com/hotels/detail/?Allianceid=15214&Sid=1209572&allianceid=15214&sid=1209572&hotelid=700948&city=359&locale=en_us&checkin=2026-09-23&checkout=2026-09-24&ouid=&shoppingid=Mki0N0fpa2qT&roomquantity=&minprice=52.16&mproom=1574430827&fgt=1&starlist=&rate=&amenty=&breakfast=&bookPolicy=&adult=2&children=0&ages=&curr=USD&prid=LANG_US&trip_sub1=23_09_2026_1_mapresults_700948_US_desktop_default___0_0-LANG_US-landing&br=52.16&tf=7.84&display=exavg&crn=1&mincurr=USD&stand=H4sIAAAAAAAA_-Ny52KSYBJi4mCUsuV4feH-O1aL34IBHDMYpzzRWsHIuIOR6SKjZkz_oa8abg4PGUXWuT-sEvFyeMHYPvMh0wIWxoWsbwJ3yLVKJzlI8fhmZxr4GaQVJBoVhigwalx7-OQKmwdjEJulhaGBhVGUDBdziIeT4I_um5NCBU_ZSzGHBrsoPhGRPfn0vpRDEmtqnm5ocEabWBcjkwfjKkZ2LmYDIyMBpk-M_MjmxpuYTGJiNAQA0kqbjLYAAAA,,,,,2,,,,,,52.19,USD,2026-09-23,2026-09-24,https://us.trip.com/hotels/detail/?Allianceid=15214&Sid=1209572&allianceid=15214&sid=1209572&hotelid=700948&city=359&locale=en_us&checkin=2026-09-23&checkout=2026-09-24&ouid=&shoppingid=Mki0N0fpa2qT&roomquantity=&minprice=52.16&mproom=1574430827&fgt=1&starlist=&rate=&amenty=&breakfast=&bookPolicy=&adult=2&children=0&ages=&curr=USD&prid=LANG_US&trip_sub1=23_09_2026_1_mapresults_700948_US_desktop_default___0_0-LANG_US-landing&br=52.16&tf=7.84&display=exavg&crn=1&mincurr=USD&stand=H4sIAAAAAAAA_-Ny52KSYBJi4mCUsuV4feH-O1aL34IBHDMYpzzRWsHIuIOR6SKjZkz_oa8abg4PGUXWuT-sEvFyeMHYPvMh0wIWxoWsbwJ3yLVKJzlI8fhmZxr4GaQVJBoVhigwalx7-OQKmwdjEJulhaGBhVGUDBdziIeT4I_um5NCBU_ZSzGHBrsoPhGRPfn0vpRDEmtqnm5ocEabWBcjkwfjKkZ2LmYDIyMBpk-M_MjmxpuYTGJiNAQA0kqbjLYAAAA,trip,2026-09-03T07:26:25-07:00,trip,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/酒店房型规格.csv,T3,否,9fd9f8f9240d9a4a6145bf5a811e283ad877bac90031b42888ff9fe6794063aa
