酒店ID,Google地点ID,Google地图要素ID,Google_CID,酒店名称,Google原始类别,住宿类型,酒店星级,评分,评价数量,价格范围,完整地址,纬度,经度,曼谷区代码,曼谷区中文名,曼谷区英文名,曼谷区泰文名,行政范围核验,营业状态,营业时间,入住时间,退房时间,电话,官方网站,位置代码,无障碍信息,设施与服务,图片链接,Google地图链接,发现查询,数据来源,采集时间,酒店中文名,酒店英文名,酒店泰文名,官网主域名,热度等级,整理批次ID,记录哈希
ChIJLxrEcMie4jARb4KfjpcicvA,ChIJLxrEcMie4jARb4KfjpcicvA,0x30e29ec870c41a2f:0xf07222978e9f826f,17325948750775943791,Baiyoke Sky Hotel,hotel,宾馆,,4.3,21557,,"222 Ratchaprarop Rd, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400",13.754102699999999,100.5403735,1037,拉差贴威县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 656 3000,http://baiyokesky.baiyokehotel.com/,7P52QG3R+J4,,可预约|适合儿童|外带|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgIC6tLWFMg!2e10!4m2!3m1!1s0x30e29ec870c41a2f:0xf07222978e9f826f,https://maps.google.com/?cid=17325948750775943791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,,Baiyoke Sky Hotel,โรงแรมใบหยกสกาย,baiyokesky.baiyokehotel.com,S,20260907-003922-csv-f52bd5d0,05ab7abff9114860f7bfe388ebc6107eefbd4520ba5cc6a6125000f31459ad17
ChIJi-YG88We4jARAkpfrYgaG-A,ChIJi-YG88We4jARAkpfrYgaG-A,0x30e29ec5f306e68b:0xe01b1a88ad5f4a02,16148530063193623042,The Berkeley Hotel Pratunam,hotel,5 星级酒店,,4.6,20002,,"559 Ratchaprarop Rd, Makkasan, Ratchathewi, Bangkok 10400泰国",13.7500454,100.5429516,1037,拉差贴威县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 309 9999,berkeleypratunam.com,: QG2V+25 曼谷 泰国曼谷都会区,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgIDvz-yqBA!2e10!4m2!3m1!1s0x30e29ec5f306e68b:0xe01b1a88ad5f4a02,https://www.google.com/maps/place/The+Berkeley+Hotel+Pratunam/data=!4m10!3m9!1s0x30e29ec5f306e68b:0xe01b1a88ad5f4a02!5m2!4m1!1i2!8m2!3d13.7500454!4d100.5429516!16s%2Fg%2F1q62f5xnq!19sChIJi-YG88We4jARAkpfrYgaG-A?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1,,Maps网页历史批次 | Places历史批次A,2026-08-28 00:25:57,,The Berkeley Hotel Pratunam,เดอะ เบิร์กลีย์ โฮเต็ล ประตูน้ำ,,S,20260907-003922-csv-f52bd5d0,4cc20eac33e8b1ea3dd88dcc072af4058924eb0894e1c60f9fbf8f9f8a3bd536
ChIJZTiLx92Y4jARaoCZW0M2Zew,ChIJZTiLx92Y4jARaoCZW0M2Zew,0x30e298ddc78b3865:0xec6536435b99806a,17034080828526264426,曼谷千禧希尔顿酒店,hotel,宾馆,,4.6,12974,,"123 Charoen Nakhon Rd, Khwaeng Khlong Ton Sai, Khet Khlong San, Krung Thep Maha Nakhon 10600",13.728402099999998,100.5095113,1018,空訕縣,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,,,,+66 2 442 2000,https://www.hilton.com/en/hotels/bkkhitw-millennium-hilton-bangkok/?SEO_id=GMB-APAC-TW-BKKHITW,7P52PGH5+9R,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgICh47ek-gE!2e10!4m2!3m1!1s0x30e298ddc78b3865:0xec6536435b99806a,https://maps.google.com/?cid=17034080828526264426&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,曼谷千禧希尔顿酒店,,โรงแรมมิลเลนเนียม ฮิลตัน กรุงเทพฯ,hilton.com,S,20260907-003922-csv-f52bd5d0,1e9da179b25c318f8ebf70d44664b7aee1a97f1ff1668f9e31e48cb90c15c074
ChIJcf_j1C-Z4jARfDy3FlDr-Wc,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,0x30e2992fd4e3ff71:0x67f9eb5016b73c7c,7492278184318549116,曼谷香格里拉大酒店,hotel,5 星级酒店,,4.6,11461,,"89 Wat Suan Phlu Alley, Bang Rak, Bangkok 10500泰国",13.7214325,100.5142446,1004,挽叻县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 236 7777,shangri-la.com,: PGC7+HM 曼谷 泰国曼谷都会区,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgICjpe_8JA!2e10!4m2!3m1!1s0x30e2992fd4e3ff71:0x67f9eb5016b73c7c,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E9%A6%99%E6%A0%BC%E9%87%8C%E6%8B%89%E5%A4%A7%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e2992fd4e3ff71:0x67f9eb5016b73c7c!5m2!4m1!1i2!8m2!3d13.7214325!4d100.5142446!16s%2Fm%2F012vy02r!19sChIJcf_j1C-Z4jARfDy3FlDr-Wc?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1,,Maps网页历史批次 | Places历史批次A,2026-08-28 00:24:16,曼谷香格里拉大酒店,,โรงแรมแชงกรี-ลา กรุงเทพฯ,,S,20260907-003922-csv-f52bd5d0,d82d8cb410c1d6e026f22febebdae0d197a196b733cfd37d766289fc87658423
ChIJ69UzUM-e4jARwyvJBkeTbr0,ChIJ69UzUM-e4jARwyvJBkeTbr0,0x30e29ecf5033d5eb:0xbd6e934706c92bc3,13650009453872360387,曼谷阿玛丽水门酒店,hotel,5 星级酒店,,4.6,9908,,"847 Phetchaburi Rd, Khwaeng Thanon Phaya Thai, Ratchathewi, Bangkok 10400泰国",13.7509196,100.5400991,1037,拉差贴威县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 653 9000,amari.com,: QG2R+92 曼谷 泰国曼谷都会区,,允许携带宠物|适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIABIhAfNoHoUlqLqFLn4JbxLx6K!2e10!4m2!3m1!1s0x30e29ecf5033d5eb:0xbd6e934706c92bc3,https://www.google.com/maps/place/%E6%9B%BC%E8%B0%B7%E9%98%BF%E7%8E%9B%E4%B8%BD%E6%B0%B4%E9%97%A8%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x30e29ecf5033d5eb:0xbd6e934706c92bc3!5m2!4m1!1i2!8m2!3d13.7509196!4d100.5400991!16s%2Fg%2F120_rtq7!19sChIJ69UzUM-e4jARwyvJBkeTbr0?authuser=0&hl=zh-CN&g_ep=EgoyMDI2MDgyNS4wIJJjKgBIAVAD&rclk=1,,Maps网页历史批次 | Places历史批次A,2026-08-28 00:25:10,曼谷阿玛丽水门酒店,,อมารี วอเตอร์เกท กรุงเทพฯ,,S,20260907-003922-csv-f52bd5d0,790302b8a412852989ee4913cbb6c157a037061408c2838feedc8abe5e875357
ChIJCWbW7MWY4jARuQATRiSHlA0,ChIJCWbW7MWY4jARuQATRiSHlA0,0x30e298c5ecd66609:0xd948724461300b9,978555608910463161,lebua at State Tower,hotel,宾馆,,4.4,9475,,"1055 Si Lom Rd, Si Lom, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.721483699999999,100.51689309999999,1004,挽叻县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 00:00–23:59 | 星期日: 24小时营业,,,+66 2 624 9999,http://lebua.com/state-tower,7P52PGC8+HQ,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgICJ2NrB-AE!2e10!4m2!3m1!1s0x30e298c5ecd66609:0xd948724461300b9,https://maps.google.com/?cid=978555608910463161&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,,lebua at State Tower,เลอบัว แอท สเตททาวเวอร์,lebua.com,S,20260907-003922-csv-f52bd5d0,107343c648526ebdf40cbb6a3eebd6190b14f5be8171f448d6cbc04c061ed12f
ChIJf1YJeC-Z4jARNNLn8M9QwMw,ChIJf1YJeC-Z4jARNNLn8M9QwMw,0x30e2992f7809567f:0xccc050cff0e7d234,14753881233295921716,Centara Grand & Bangkok Convention Centre at Central World,hotel,宾馆,,4.6,8170,,"999, 99 Rama I Rd, Khwaeng Pathum Wan, Pathum Wan, Krung Thep Maha Nakhon 10330",13.747718299999999,100.5387477,1007,巴吞旺县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 100 1234,http://www.centarahotelsresorts.com/centaragrand/cgcw/,7P52PGXQ+3F,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgICDoYDsBw!2e10!4m2!3m1!1s0x30e2992f7809567f:0xccc050cff0e7d234,https://maps.google.com/?cid=14753881233295921716&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,,Centara Grand & Bangkok Convention Centre at Central World,เซ็นทาราแกรนด์และบางกอกคอนเวนชันเซ็นเตอร์ เซ็นทรัลเวิลด์,centarahotelsresorts.com,S,20260907-003922-csv-f52bd5d0,e7a1fffea01397c4192ef48e36c5140fb9d250f635e051599311fcd75a0d501b
ChIJpYbWb8aY4jAR5PmlBlsxOoM,ChIJpYbWb8aY4jAR5PmlBlsxOoM,0x30e298c66fd686a5:0x833a315b06a5f9e4,9455924634641103332,曼谷沙吞颐思殿酒店,hotel,宾馆,,4.7,8037,,"33/1 S Sathon Rd, Yannawa Khet Sathon, Krung Thep Maha Nakhon 10120",13.7184244,100.52194519999999,1028,沙吞县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 210 8100,https://www.eastinhotelsresidences.com/eastingrandsathornbangkok/,7P52PG9C+9Q,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIHM0ogKEICAgICxpdeXIQ!2e10!4m2!3m1!1s0x30e298c66fd686a5:0x833a315b06a5f9e4,https://maps.google.com/?cid=9455924634641103332&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,曼谷沙吞颐思殿酒店,,โรงแรมเยสิเดียน สาทร กรุงเทพฯ,eastinhotelsresidences.com,S,20260907-003922-csv-f52bd5d0,8e234d891dc6d24a403cba447f00ac66063a1116b596d9edcdbf538804802c8c
ChIJWzTYg2Gf4jARnDjWpjqe8cY,ChIJWzTYg2Gf4jARnDjWpjqe8cY,0x30e29f6183d8345b:0xc6f19e3aa6d6389c,14335413063641348252,曼谷金浦顿玛莱酒店,hotel,宾馆,,4.9,7814,,"78 Soi Ton Son, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330",13.73768,100.543443,1007,巴吞旺县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,星期一: 24小时营业 | 星期二: 24小时营业 | 星期三: 24小时营业 | 星期四: 24小时营业 | 星期五: 24小时营业 | 星期六: 24小时营业 | 星期日: 24小时营业,,,+66 2 056 9999,https://www.kimptonmaalaibangkok.com/?utm_source=Google&utm_medium=MyBusiness&utm_campaign=Hotel,7P52PGQV+39,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIABIhDbn6S1YyeAyLBIfFFOgNRS!2e10!4m2!3m1!1s0x30e29f6183d8345b:0xc6f19e3aa6d6389c,https://maps.google.com/?cid=14335413063641348252&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,曼谷金浦顿玛莱酒店,,โรงแรมคิมป์ตัน มาราย กรุงเทพฯ,kimptonmaalaibangkok.com,S,20260907-003922-csv-f52bd5d0,99bfc9df2778e19f114892072173a42b53540f07a9317f3df43a1a8674c54459
ChIJ5S2A5duY4jARy8aLC8dvrqM,ChIJ5S2A5duY4jARy8aLC8dvrqM,0x30e298dbe5802de5:0xa3ae6fc70b8bc6cb,11794487374812792523,皇家兰花喜来登大酒店,hotel,宾馆,,4.4,7545,,"2 Charoen Krung 30, Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500",13.729093899999999,100.5139043,1004,挽叻县,,,曼谷行政区内（本地2019简化边界）,OPERATIONAL,,,,+66 2 266 0123,https://www.marriott.com/en-us/hotels/bkksi-royal-orchid-sheraton-riverside-hotel-bangkok/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,7P52PGH7+JH,,适合儿童|无障碍入口|无障碍停车,https://www.google.com/maps/place//data=!3m4!1e2!3m2!1sCIABIhBSrXecj9HBTzr00p_6JDtt!2e10!4m2!3m1!1s0x30e298dbe5802de5:0xa3ae6fc70b8bc6cb,https://maps.google.com/?cid=11794487374812792523&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,Places历史批次A,2026-08-27T16:12:37.380Z,皇家兰花喜来登大酒店,,โรงแรมรอยัล ออคิด เชอราตัน,marriott.com,S,20260907-003922-csv-f52bd5d0,2db29575ac89c629f8e497bbcaa26cfc92c3fbfab7eb3d7e1cedfa883465d2fb
