源行号,酒店ID,标准平台ID,原始平台名称,是否官网,URL链接,记录哈希,采集批次ID,源文件,源文件SHA256,酒店主键存在,平台映射状态,审计结果,问题说明
2,ChIJLxrEcMie4jARb4KfjpcicvA,official_travelanium,Baiyoke Sky Hotel,是,https://reservation.travelanium.net/propertyibe2/rates?propertyId=127&onlineId=28&checkin=2026-09-23&checkout=2026-09-24&numofadult=2&numofchild=0&numofroom=1&accesscode=GGP&lang=en&currency=USD&uc=US&hrid=&hpid=&utm_source=ghotelads&gh_cfg=690&gh_advbookingw=20&gh_campaignid=&gh_clicktype=hotel&gh_closerateruleids=&gh_datetype=default&gh_googlesite=mapresults&gh_partnercurrency=THB&gh_pricedisplayedtax=9.70&gh_pricedisplayedtotal=64.53&gh_userdevice=desktop&gh_userlistid=&gh_verification=false&gh_adtype=0,7b07f169b45a4a7d94fb77845a0646cac1d5c5cce35c69c1a9f3756b2a21cad4,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
3,ChIJLxrEcMie4jARb4KfjpcicvA,travelko,TRAVELKO,否,https://www.travelko.com/locale/en_US/hotel/lp_google/?partner_hotel_id=w45829&num_adults=2&checkin=20260923&length=1&adType=gha_free&utm_source=google&utm_medium=gha&utm_campaign=hotel_gha_free&cvt=gha_free_pull&device=desktop&currency=USD&country=US&language=en&price_display_total=52.65&child_num=0&gha_plan_code=&search_filter=1,78b6e9e02e008819cd1597e3726aa93b9390d3bd2a6ba52d3157ae5a43d07a9e,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
4,ChIJLxrEcMie4jARb4KfjpcicvA,trip,Trip.com,否,https://us.trip.com/hotels/redirect?hotelid=700948&city=359&shoppingid=Mki0N0fpa2qT&adult=2&children=0&ages=&checkin=2026-09-23&checkout=2026-09-24&curr=USD&Allianceid=15214&Sid=1209572&prid=LANG_US&trip_sub1=23_09_2026_1_mapresults_700948_US_desktop_default___0_0-LANG_US-landing&hpaopts=stand[H4sIAAAAAAAA_-Ny52KSYBJi4mCUsuV4feH-O1aL34IBHDMYpzzRWsHIuIOR6SKjZkz_oa8abg4PGUXWuT-sEvFyeMHYPvMh0wIWxoWsbwJ3yLVKJzlI8fhmZxr4GaQVJBoVhigwalx7-OQKmwdjEJulhaGBhVGUDBdziIeT4I_um5NCBU_ZSzGHBrsoPhGRPfn0vpRDEmtqnm5ocEabWBcjkwfjKkZ2LmYDIyMBpk-M_MjmxpuYTGJiNAQA0kqbjLYAAAA]fgt[1]&br=52.16&tf=7.84&display=exavg&locale=en_us&crn=1&roomid=1574430827&allianceid=15214&sid=1209572,1006b0486dde4344a2a0839ee4d9928beef2587d7091cdb7066556a1d6546ca3,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
5,ChIJLxrEcMie4jARb4KfjpcicvA,etrip,Etrip.net,否,https://deals.etrip.net/?sig=e9cc68956712e1e5d60f579a67e54afadd83f5d631dc9782cc50d47864de2f2c2d32303330363031313335&turl=https%3A%2F%2Fsearch.etrip.net%2FHotel%2FSearch%3FcheckIn%3D2026-09-23%26checkOut%3D2026-09-24%26currency%3DUSD%26forceCurrencyChange%3D1%26lang%3Den%26forceLanguageChange%3D1%26rooms%3D2%3A%26utm_source%3Dgha%26utm_medium%3Dcpc%26hotelId%3D1196741%26userCountry%3DUS%26profile%3Dr2d2m73kn8%26preferredRate%3D52.15%26label%3Dsrc%253Dgha%2526cltype%253Dhotel%2526datype%253Ddefault%2526gsite%253Dmapresults%2526vf%253D0%2526ucountry%253DUS%2526udevice%253Ddesktop%2526hotel%253D1196741%2526day%253D23%2526month%253D09%2526year%253D2026%2526los%253D1%2526price%253D52.15%2526currency%253DUSD%2526cid%253D%2526listid%253D%2526rateid%253DUS_D%2526closerateid%253D%2526promo%253D0%2526isPrivateRate%253D0%2526isAudienceUser%253D0%2526isPaidClick%253D0%2526%26cp%3DdO4FULe0RJMfZBlYChcIzyIQ2gMYtgIiA1VTRCjQqbHVBlIBMhIaFekGroUaCzNoSDA4aHhfS3pRKAIwwdXk1AY,e3f9c9999e2698b68ec393b23a97dd0b0cab4b96fe20a52aa6f443681601410f,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
6,ChIJLxrEcMie4jARb4KfjpcicvA,klook,klook,否,https://api.klktech.com/v1/meta/hotels/detail/572913/?hotelid=572913&check_in=2026-09-23&check_out=2026-09-24&aid=28539&campaignid=&adult_num=2&lead_time=20&child_num=0&childages=&room_num=1&google_site=mapresults&length_of_stay=1&partner_currency=USD&click_type=hotel&click_price_total=58.86&price_tax=8.85&price_fees=0.00&rate_key_redacted=1&user_country=US&click_currency=USD&_currency=USD&device=desktop&partner_hotelid=572913&language=en&audience_list=&verification=false&booking_source=cpc&isPromoted=0&utm_source=MSE&utm_medium=Google&utm_campaign=28539&utm_term=572913&utm_content=USD&isAdClick=0&prid=Foreign-Other&arrival_fees=0.000&lowest=true&mse_trace_id=Mjc5MDMwMi0yNzkwMzAyLTE3ODg0MjM0MDUuZi5vOjE6MDoyOjA6MToyNjU6MjY2OlRX&mse_search_token=Mjc5MDMwMi0yNzkwMzAyLTE3ODg0MjM0MDUuZi5vOjE6MDoyOjA6MToyNjU6MjY2OlRX&price_total=USD-58.860&price_type=Inbound-desktop&klc_l1=MSE&klc_l2=Google&age=,a0e92facfc00f0b03c049d664aa159a6133e32455531dc7a14cbbec39f6b6622,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
7,ChIJLxrEcMie4jARb4KfjpcicvA,priceline,Priceline,否,https://www.priceline.com/r/?channel=meta&product=hotel&theme=Google-L&refid=PLGOOGLEMSS&refclickid=US_HP%7C10898305_mapresults_1%7C20260923%7Cdesktop%7Cdefaultdate|public|||20%7C2%7C0|0|EN&hotelid=10898305&checkin=20260923&checkout=20260924&rooms=1&cur=USD&POSCountryCode=US&taxDisplayMode=BP&cityID=3000040033&adults=2&land=L&metaid=BRK3VgHUQS6nzzoQeiACDulHZxZMIdsdc4Gv8SLref8s0zyG4NClR_52XMDY4XQkwvGvTA1etvpRKdkQn-6xhzMI3rZAQem1FrQJjTthxFpw_TPExeZsB6_jQ9-9p57y0uhzb6APLu-T8Egwo6KVa5TtZbpsXDmXb4H800l9cvToOnf2n_BQWaDdKpH_rAoFQ42loW1NasArGDgUSnrp-lfQNbOj_oASKe7VcjuwXxTaNtTIiVpgQIlUDjSRptEmZ9Fu6aXUtRCSy6a5Pa9zo0VSaFDM3IOy0ceHkXdLfAnp7AeLsM55tT8SmDuHJE63UbopKi8HC0Wj7heHHPqJ0_a1Q59hbVxR-NYqFEBphgl3HQMs_NMIFnwX9bM8YvGv-Bb-OAJpxtTZVPg_bjtChrpeVwBnwbpqjTCPJRtFZ9vosV4a45s4x2fz-IzlHu4G7vguehPTZwZ3uEgvQhxC_m_GuX4A_N63X1V-xUex0D-_jgSNHlssgrIiI__aMXbT&dblcnt=true&hc=1&pdtax=8.30&pdf=4.69&pdt=58.04&locale=en-us&ad-src=&numChild=0&aid=&selAdults=2,90e30b449bcc0583ce0800f526a8f49017675032388bb016971494cbccd06b1a,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
8,ChIJLxrEcMie4jARb4KfjpcicvA,bluepillow,Bluepillow.com,否,"https://www.bluepillow.com/search/618287fb9e3163a56a246d83?begin=2026-09-23&end=2026-09-24&block_id=-b,UtkXYD3LwyVulASJWfp01kIJxPLWPcrNvFMuOI6X-XM,-bpag-Hotel&fees=8.22&tax=8.22&total=54.64&adults=2&childs=0&infants=0&childrens=0&country=US&currency=USD&language=en&source=mapresults&utm_campaign=hotel&prid=foreign",6e98562dc96afd6fefe1802b5dc3c7de93dbaaa9fb4770a41041ad22bb9e788c,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
9,ChIJLxrEcMie4jARb4KfjpcicvA,kayak,KAYAK.com,否,https://www.kayak.com/semi/ha/hotel_ads/60186/en.html?utm_source=google&utm_medium=cpc&utm_term=60186&adType=0&utm_content=mapresults&utm_campaign=HotelAds&ci=2026-09-23&co=2026-09-24&gs=mapresults&l=1&pc=USD&rid=&pdtax=10.85&pdtotal=60.75&rpid=&uc=US&ucuc=USD&d=desktop&lc=en&v=false&rrid=UFJJQ0VMSU5FQ09SRQ&k_pc=~UFJJQ0VMSU5FQ09SRQ&k_rt=&k_sid=1IDkKmL__b&k_kct=1788416507&k_gct=1788424054&g=2&r=1&ac=2&k_cc=us&dt=default&cmpid=&cmptrack=,1eb8c6516a7ac01f20d1952546ce10821e920bd9df099d772bc5768f5877cb37,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
10,ChIJLxrEcMie4jARb4KfjpcicvA,booking,Booking.com,否,https://www.booking.com/searchresults.en.html?dest_id=27364&highlighted_hotels=27364&dest_type=hotel&checkin=2026-09-23&checkout=2026-09-24&group_adults=2&req_adults=2&show_room=&lang=en&selected_currency=USD&exrt=0.03031406&ext_price_total=71.33&ext_price_tax=0.00&xfc=THB&hca=m&group_children=0&req_children=0&&no_rooms=1&ts=1788424492&edgtid=tqtJ1uMNQGq_Y4mjbqGdeA&efpc=YbGaI1OxCh8&utm_source=metagha&utm_medium=mapresults&utm_campaign=US&utm_term=hotel-27364&utm_content=dev-desktop_los-1_bw-20_dow-Wednesday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-34_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20260923_ppt-Thb&aid=2127489&label=metagha-link-MRUS-hotel-27364_dev-desktop_los-1_bw-20_dow-Wednesday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-34_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20260923_ppt-Thb,e3f0068ba366731b2be59aedfabcf127ec7e5bb23956375256932dc0e4dbd4f1,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
11,ChIJLxrEcMie4jARb4KfjpcicvA,trivago_deals,trivago DEALS,否,https://www.trivago.deals/hotels/thailand_th_bangkok/103986_baiyoke-sky?checkIn=2026-09-23&checkOut=2026-09-24&placeId=H103986&campaignName=TrivagoDeals_Google_US&currencyCode=USD&dealkey_redacted=1&countryCode=US&languageCode=en&rule=Google_US&site=mapresults&ads=&origin=31&priceDisplayedTotal=63.00&priceDisplayedTax=9.15&device=desktop&adults=2&children=0,5832f3d29a82b26fa34c4f42a77ff626984f90cc041a6363bc0a89542af2cfc6,20260907-003922-csv-f52bd5d0,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/02_入住平台/酒店入住平台.csv,2cc2a8dbc395a9bac2d29fbf183100aad73dcdb1a10d4af2f750ff806a103591,是,已映射,通过,
