酒店ID,房型ID,房型名称,房型价格,币种,房型URL,床型,窗户,面积,楼层,可住人数,加床政策,吸烟政策,网络,剩余数量,房型设施,房型图片数,来源URL
1027224,2255046634,豪华双床房,690,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.06米单人床,有窗,40平方米,19-22层,3,,禁烟,Wi-Fi免费,20,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,2255046638,豪华双人床房,690,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.82米特大床,有窗,40平方米,19-22层,3,,禁烟,Wi-Fi免费,20,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,2255054586,尊贵房 1张特大床,815,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.82米特大床,有窗,40平方米,7-13层,3,,禁烟,Wi-Fi免费,10,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、开夜床,8,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1788946665,尊贵房 2张单人床,844,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.3米单人床,有窗,40平方米,7-12层,3,,禁烟,Wi-Fi免费,10,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、开夜床,8,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1740240087,优选客房，1张特大床，城景,920,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,40平方米,14-16层,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1798085295,优选客房，2张大床，城景,920,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,2张1.51米大床,封闭窗,40平方米,,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1740240091,总统套房 - 一卧室套房 - 可使用行政酒廊,4324,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,170平方米,22层,1,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、沐浴露、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌、用餐区|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|厨房用品:冰箱|便利设施:房内保险箱、开夜床、行政酒廊待遇,7,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1798085090,行政房 - 带1张特大床 - 可使用行政休息室,1380,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,40平方米,17-18层,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1750136053,Crest 套房，可使用行政酒廊，一卧室套房,1597,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,93平方米,19-21层,1,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,5,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,2246690177,1卧室套房，行政酒廊通行權，套房，1張特大床,1243,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,44平方米,7-22层,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,7,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
1027224,1740240090,行政套房 - 提供行政酒廊服务 - 一卧室套房,1362,CNY,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1027224&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,1张1.81米特大床,封闭窗,55平方米,7-22层,3,,禁烟,Wi-Fi免费,9,洗浴用品:牙刷、牙膏、洗发水、护发素、香皂、浴帽、梳子、剃须刀|清洁服务:每日打扫、熨衣设备|客房布局和家具:书桌|网络与通讯:客房WIFI、电话、国际长途电话|卫浴设施:浴缸、私人浴室、私人卫生间、吹风机、淋浴、浴袍、毛巾、浴巾、24小时热水、拖鞋|食品饮品:咖啡壶/茶壶、瓶装水、电热水壶|客房设施:空调、床具：毯子或被子|媒体科技:电视机、有线频道|室外景观:城景|便利设施:房内保险箱、开夜床,4,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland
