采集时间,酒店ID,主酒店ID,酒店中文名,酒店英文名,城市ID,城市,区域/商圈,地址,纬度,经度,星级,钻级,开业时间,装修时间,客房数,酒店类型,榜单/排名,评分,评分描述,点评总数,收藏数,图片总数,最低价,币种,交通信息,特色标签,热门设施,评分明细,卫生评分,设施评分,环境评分,服务评分,点评标签,电话,酒店简介,原始详情URL,PC详情URL,移动详情URL
2026-09-01 02:40:27,10019235,10019235,素坤逸2巷贝斯特韦斯特SureStay Plus酒店(SureStay Plus Hotel by Best Western Sukhumvit 2),,359,,,,,,,,2017,,85,,,,,333,,,,CNY,,,,,,,,,,0066-2-0201144,装修：2023 邮箱： info@surestayplussukhumvit2.com 素坤逸2巷贝斯特韦斯特舒雅优质酒店 (SHA Plus+)坐落于素坤逸，不论您是商务出差还是休闲旅游素坤逸2巷贝斯特韦斯特舒雅优质酒店 (SHA Plus+)都是理想的下榻之处。从酒店出发，至隆齐BTS高架铁路站仅有600m远。离这最近的是那那地铁站，距离仅400m。附近很多景点，包括Tony Thai Massage、Tony Thai Massage和曼谷塔都离酒店不远。 酒店为您在客房内配备了房内保险箱、空调和衣柜/衣橱，所有入住的客人均可便捷的使用。有饮水需求的旅客，酒店还为您提供了电热水壶和咖啡壶/茶壶。除此之外，配备有吹风机的浴室是您消除一天疲劳的好地方。酒店提供西餐厅，以诱人的美食佳肴来满足客人。在酒吧点上一杯消除一天的疲劳，对于旅客来说是一个不错的休闲选择。如果您喜欢安静的用餐，酒店可以提供房间送餐服务。若是觉得酒店的餐饮无法满足您挑剔的味蕾，附近丝滑咖喱（东南亚菜）的芒果糯米饭、尚味泰餐厅（东南亚菜）的咖喱蟹肉和Charley Brown＇s Mexicana（西餐）的墨西哥玉米薄脆或许能勾起您的食欲。 客人可以在酒店尽情的享受各种体育设施，如在室外游泳池和健身室锻炼。酒店的商务中心提供优质服务，是众多商旅客选择入住这里的原因。24小时开放的前台服务可为您随时提供信息，以帮助您探索这个魅力之都。酒店为所有入住客人提供免费停车场。 订房必读 城市通知 禁止携带榴莲进入酒店。 其他限制 不允许吸食大麻。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/10019235.html
2026-09-04 02:21:03,100332179,100332179,The Gravitique Hotel Khaosan,,359,,,,,,,,2022,,48,,,4.6,很好,194,,,,CNY,,,,设施:1,,1,,,,0066-21214415,装修：2025 邮箱： rsvn@thegravitiquehotel.com Gravitique 考山酒店位于曼谷曼谷市中心，距离考山路仅需 3 分钟步行路程，距离大皇宫不到 2 分钟车程。 此酒店距离暹逻百丽宫购物中心 3.1 英里（4.9 公里），距离MBK 购物中心 3.2 英里（5.2 公里）。 您可充分利用健身中心等度假设施，此外还有免费 WiFi和礼宾服务等。 您可以到餐厅享用一顿美餐；也可去酒店的咖啡馆吃些点心。这里有 2 间酒吧/酒廊供您选择，可以喝一杯，放松一下。每天 07:00 至 10:30 提供收费的欧陆式早餐。 特色服务/设施包括免费高速有线上网、24 小时前台服务和行李寄存。 有 48 间空调客房提供存放一些免费物品的迷你吧；您定能在旅途中找到家的舒适。提供免费有线网络，方便您与朋友保持联系。浴室提供淋浴设施、坐浴桶和吹风机。便利设施包括书桌和电热水壶；而且每天提供客房服务。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100332179&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/100332179.html
2026-09-01 02:30:58,100344790,100344790,玫瑰苹果酒店(Rose Apple Hotel),,359,,,,,,,,2022,,41,,,,,281,,,,CNY,,,,,,,,,,0066-2-1055511,装修：2023 玫瑰苹果酒店位于曼谷水门，距离暹逻百丽宫购物中心和水门市场不到 5 分钟车程。 此酒店距离胜利纪念碑 0.3 英里（0.6 公里），距离曼谷中央世界购物中心 1.5 英里（2.4 公里）。 您可利用酒店的按摩慰劳一下自己，或者试试免费 WiFi等服务和设施。 特色服务/设施包括24 小时前台服务、行李寄存和电梯。 有 41 间空调客房提供平板电视；您定能在旅途中找到家的舒适。提供免费无线网络，方便您与朋友保持联系；卫星频道可满足您的娱乐需求。配备淋浴设施的私人浴室提供免费洗浴用品和吹风机。便利设施包括电话，以及保险箱和书桌。 订房必读 城市通知 禁止携带榴莲进入酒店。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/100344790.html
2026-08-31 21:08:25,100474915,100474915,greet 曼谷素坤逸16号 Jono 酒店(greet Bangkok Sukhumvit 16 Jono),,359,,,,,,,,2023,,65,,,,,419,,,,CNY,,,,,,,,,,0066-2-0332377,装修：2026 邮箱： stay.asok@jonohotels.com Jono曼谷Asok酒店坐落于曼谷中心地段，距离Terminal 21 购物中心和是乐园不到 5 分钟车程。 此酒店距离曼谷中央世界购物中心 2.8 英里（4.4 公里），距离暹逻百丽宫购物中心 3.1 英里（5 公里）。 您可利用免费 WiFi和自动售货机等便利服务和设施。 特色服务/设施包括快速入住、24 小时前台服务和前台保管箱。 有 65 间空调客房提供迷你吧和智能电视；您定能在旅途中找到家的舒适。提供免费无线网络，方便您与朋友保持联系；有线频道可满足您的娱乐需求。浴室提供淋浴设施、免费洗浴用品和坐浴桶。便利设施包括可存放笔记本电脑的保险箱和书桌，以及带有免费市内通话的电话。 订房必读 城市通知 禁止携带榴莲进入酒店。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/100474915.html
2026-09-04 01:54:29,100811418,100811418,曼谷卡萨17号酒店(Casa 17 Hotel Bangkok),,359,,,,,,,,2022,,80,,,4.6,很好,244,,,,CNY,,,,,,,,,,0066-2-4249142,邮箱： reservation@casa17hotel.com 曼谷Casa 17酒店地处曼谷中心，距离皇家游船国家博物馆和西里拉吉皮亚玛哈拉吉卡伦医院不到 5 分钟车程。 此酒店距离曼谷国立博物馆 2.1 英里（3.3 公里），距离大皇宫 2.4 英里（3.8 公里）。 您可充分利用室外游泳池和24 小时健身中心等度假设施。 您可以到餐厅享用一顿美餐；也可去酒店的咖啡馆吃些点心。忙碌了一天后，可以去酒吧/酒廊或池畔酒吧小酌一番，轻松一下。每天 07:00 至 10:30 提供收费的自助式早餐。LOCALIZE 特色服务/设施包括24 小时前台服务、多语言服务和行李寄存。计划在曼谷举办活动？这家酒店拥有 50 平方米（538 平方英尺）的空间，包括会议场地和会议室。酒店提供免费自助停车。 有 80 间空调客房提供迷你吧；您定能在旅途中找到家的舒适。提供免费无线网络，方便您与朋友保持联系。浴室提供浴缸或淋浴、坐浴桶和吹风机。便利设施包括电话，以及可存放笔记本电脑的保险箱和书桌。 订房必读 城市通知 禁止携带榴莲进入酒店。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/100811418.html
2026-09-04 02:21:38,100911424,100911424,曼谷德瓦别墅度假村酒店(Villa Deva Resort & Hotel Bangkok),,359,,,,,,,,2022,,43,,,4.6,很好,158,,,,CNY,,,,设施:1,,1,,,,0066-2-8213888,邮箱： reservation@villadeva.com 德瓦别墅度假村和曼谷酒店地处曼谷中心，距离是乐园和诗丽吉王后国家会议中心不到 5 分钟车程。 此豪华酒店距离曼谷中央世界购物中心 2.4 英里（3.9 公里），距离MBK 购物中心 2.6 英里（4.2 公里）。 不要错过室外游泳池和健身中心等众多度假设施。此酒店还提供免费 WiFi、礼宾服务和宴会厅。 您可以到餐厅享用一顿美餐，也可以待在房间里，享受酒店的部分时段客房送餐服务。每天一次免费招待会举行免费招待会，您可以借此结识其他住客。您可以到酒吧/酒廊，点一杯喜欢的饮品，畅饮一番。每天 06:30 至 10:00 提供收费的自助式早餐。 特色服务/设施包括干洗/洗衣服务、24 小时前台服务和行李寄存。这家酒店拥有 2 间会议室，可用来举办活动。酒店提供免费自助停车。 有 43 间空调客房提供私人游泳池和智能电视；您定能在旅途中找到家的舒适。客房设有私人阳台。厨房配有大冰箱、烤箱和炉灶。提供免费无线网络，方便您与朋友保持联系。配备独立的浴缸和淋浴的浴室提供按摩浴缸和坐浴桶。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100911424&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/100911424.html
2026-09-04 02:16:13,101005795,101005795,蓝河马酒店(Blue Hippo Hotel),,359,,,,,,,,2022,,116,,,,,668,,,,CNY,,,,设施:1,,1,,,,0066-21307044,装修：2023 邮箱： info@bluehippohotel.com 蓝河马酒店共设有 116 间客房，分为三种房型：高级客房（Superior Room）、舒适套房（Comfy Suite）及家庭房（Family Room），房间面积介于 26 至 78 平方米之间。酒店配备齐全的设施，包括健身中心、蒸汽房和桑拿房，并提供前往 BTS Bangna 站的免费接驳服务。酒店地理位置优越，距离 BTS 仅 3 分钟（3 公里），距离曼谷国际贸易与展览中心 BITEC Bangna 仅 5 分钟（4.8 公里），非常适合商务及休闲旅客入住。 酒店为穆斯林友好型酒店，提供**早餐，并设有专用祈祷室，以满足来自不同文化背景宾客的需求。 宾客亦可轻松前往周边多处知名景点，如邦浦海滨（Bang Pu Seaside）、三头神象博物馆（Erawan Museum）、古城（Muang Boran）、邦南彭水上市场（Bang Namphueng Floating Market）以及帕沙木切迪佛塔（Phra Samut Chedi），是探索北榄府及周边地区的理想据点。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101005795&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/101005795.html
2026-09-04 02:36:15,1011479,1011479,曼谷一一酒店(One One Bangkok),,359,,,,,,,,2014,,79,,,,,163,,,,CNY,,,,设施:1,,1,,,,0066-2-7127227,装修：2023 邮箱： rsvn@oneonebangkok.com 曼谷双旺酒店位于曼谷素坤逸路，距离三美泰素坤逸医院和商城不到 5 分钟车程。 此酒店距离曼谷医院 1.3 英里（2 公里），距离Gateway Ekamai 购物中心 1.6 英里（2.6 公里）。 您可利用免费 WiFi、公共区电视和宴会厅等便利服务和设施。住客可搭乘运行范围达 2 公里的免费班车。 您可以到酒店的餐厅大快朵颐；这里供应午餐和晚餐。也可以待在房间里，享受 24 小时送餐服务。每天 06:00 至 10:00 提供收费的即点即煮早餐。 特色服务/设施包括电脑站点、大堂免费报纸和干洗/洗衣服务。酒店设有免费24 小时火车站接车服务，此外还提供免费自助停车。 有 79 间空调客房提供冰箱和液晶电视；您定能在旅途中找到家的舒适。提供免费无线网络，方便您与朋友保持联系；卫星频道可满足您的娱乐需求。配备淋浴设施的私人浴室提供大花洒淋浴喷头和免费洗浴用品。便利设施包括电话，以及保险箱和迷你吧。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1011479&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/1011479.html
2026-09-04 02:35:09,10116850,10116850,萨姆森套(Samsen Suites),,359,,,,,,,,2014,,3,,,4.8,超棒,12,,,,CNY,,,,设施:1,,1,,,,0066-612356165 0066-813699999,邮箱： chrisbkkwa@gmail.com Samsen Suites Spacious 2BR Contemporary Thai Style坐落于曼谷，配备免费WiFi、空调、免费自行车和花园，距离暹罗探索购物中心有4.7公里，距离MBK购物中心有5.1公里。内部提供私人停车位。 这家公寓享有市景，为客人提供阳台、休息区、卫星频道平板电视、带冰箱和烤箱的设施齐全的厨房以及带淋浴设施和吹风机的私人浴室。住宿还配备微波炉、炉灶和电热水壶。 Samsen Suites Spacious 2BR Contemporary Thai Style提供热水浴池。 这家住宿配备露台供客人使用。 Samsen Suites Spacious 2BR Contemporary Thai Style距离暹罗百丽宫有5.1公里，距离金山寺有5.2公里。曼谷廊曼国际机场距离住宿有20公里。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10116850&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/10116850.html
2026-09-01 02:58:52,101175495,101175495,YANH拉差哇酒店(YANH Ratchawat Hotel),,359,,,,,,,,2023,,78,,,4.5,很好,299,,,,CNY,,,,设施:1,,1,,,,0066-2-1806450,邮箱： stay@yanhhotel.com YANH大师瓦特酒店位于曼谷杜斯特，距离云石寺和胜利纪念碑不到 5 分钟车程。 此酒店距离考山路 2.8 英里（4.5 公里），距离或托科市场 2.9 英里（4.6 公里）。 一定要享受一下室外游泳池和健身中心等度假设施。 您可以到餐厅享用一顿美餐；也可去酒店的咖啡馆吃些点心。每天 07:00 至 10:30 提供收费的欧陆式早餐。 酒店提供免费自助停车。 78 间空调客房定能让您在旅途中找到家的舒适。提供免费无线网络，方便您与朋友保持联系。浴室提供淋浴设施和免费洗浴用品。便利设施包括免费瓶装水，每天提供客房服务；还可应要求提供熨斗/熨板。,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101175495&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://m.ctrip.com/html5/hotel/hoteldetail/101175495.html
