酒店ID,地点ID,地点分类,地点类型,地点名称,距离,交通时间,排序,来源URL
10019235,64288048,交通,7,地铁: 奔集地铁站,"步行距离660米,约10分钟",,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,64280516,交通,7,地铁: 那那地铁站,"步行距离770米,约11分钟",,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,141305950,交通,3,火车站: Silom MRT Station,"驾车距离3.3公里,约10分钟",,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,153515943,交通,3,火车站: 拉差帕罗,"驾车距离3.4公里,约13分钟",,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,13099857,交通,2,机场: 曼谷廊曼国际机场,"驾车距离25.3公里,约30分钟",,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18687606,景点,5,那那夜间娱乐城,直线距离270米,,1,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,77017,景点,5,四面佛,直线距离1.4公里,,2,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,77030,景点,5,伦披尼公园,直线距离1.4公里,,3,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,55804704,景点,5,奈乐庄园,直线距离960米,,4,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,13242741,景点,5,朱拉隆功大学,直线距离2.2公里,,5,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,22847028,景点,5,诗丽吉皇后国家会展中心,直线距离1.8公里,,6,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,150881302,景点,5,LV The Place Bangkok - Louis Vuitton Visionary Journeys,直线距离1.3公里,,7,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,136007422,景点,5,素坤逸路,直线距离720米,,8,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,18687620,景点,5,牛仔街,直线距离1公里,,9,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,90777,景点,5,曼谷暹罗海洋世界,直线距离2公里,,10,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
10019235,144011752,景点,5,曼谷一号,直线距离1.5公里,,11,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo
