酒店ID,序号,请求方法,响应状态,资源类型,响应URL,响应字节数,原始响应文件
10019235,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788255624601-9374036,463,raw/10019235/responses/0001_b2ea6b2a65f1.json
10019235,2,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/34308/getHotelCommentInfo,399,raw/10019235/responses/0002_e5cdff472821.json
10019235,3,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo,20364,raw/10019235/responses/0003_9a699f28ead6.json
10019235,4,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland,408,raw/10019235/responses/0004_4484b63447e6.json
10019235,5,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum,289088,raw/10019235/responses/0005_0ef9cbf89082.json
10019235,6,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctGetNearbyHotelList,378,raw/10019235/responses/0006_9a431dd78faa.json
10019235,7,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/35021/getHotelRoomPopInfoPCOnline,394,raw/10019235/responses/0007_a399d40fcb64.json
100344790,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788255055441-7085094,463,raw/100344790/responses/0001_77bc2a09fa4f.json
100344790,2,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland,408,raw/100344790/responses/0002_e41e460f95a3.json
100344790,3,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum,211887,raw/100344790/responses/0003_b0749e138db6.json
100344790,4,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/34308/getHotelCommentInfo,399,raw/100344790/responses/0004_f4484678b221.json
100344790,5,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctGetNearbyHotelList,378,raw/100344790/responses/0005_1e2127aae2e6.json
100344790,6,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo,20440,raw/100344790/responses/0006_937db351796d.json
100344790,7,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/35021/getHotelRoomPopInfoPCOnline,394,raw/100344790/responses/0007_a399d40fcb64.json
100474915,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/34308/getHotelCommentInfo,397,raw/100474915/responses/0001_a72c8f9fa60e.json
100474915,2,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo,20279,raw/100474915/responses/0002_0f6525cc02a9.json
100474915,3,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum,248570,raw/100474915/responses/0003_b0749e138db6.json
100474915,4,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctGetNearbyHotelList,376,raw/100474915/responses/0004_b9f75dd5f3db.json
100474915,5,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland,406,raw/100474915/responses/0005_126ff2c3c3c2.json
100474915,6,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788235699133-8423305,462,raw/100474915/responses/0006_1602cbdd02a5.json
100474915,7,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/35021/getHotelRoomPopInfoPCOnline,392,raw/100474915/responses/0007_a399d40fcb64.json
100811418,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788512064980-5804381,463,raw/100811418/responses/0001_7f1f447f602a.json
100811418,2,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/34308/getHotelCommentInfo,399,raw/100811418/responses/0002_e5cdff472821.json
100811418,3,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getDetailAdditionalInfo,20106,raw/100811418/responses/0003_9a699f28ead6.json
100811418,4,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctGetNearbyHotelList,378,raw/100811418/responses/0004_b9f75dd5f3db.json
100811418,5,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/28820/ctgethotelalbum,285367,raw/100811418/responses/0005_0ef9cbf89082.json
100811418,6,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/33278/getHotelRoomListInland,408,raw/100811418/responses/0006_b404bd1188b5.json
100811418,7,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/35021/getHotelRoomPopInfoPCOnline,394,raw/100811418/responses/0007_a399d40fcb64.json
101175495,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788256730004-5959493,463,raw/101175495/responses/0001_4b8f84d5ba22.json
101212523,1,POST,200,Fetch,https://m.ctrip.com/restapi/soa2/10182/GetAvailablePoints?_fxpcqlniredt=09031109115864990735&x-traceID=09031109115864990735-1788236977915-7411337,463,raw/101212523/responses/0001_9638bbc8103b.json
