清单序号,酒店ID,酒店名称,采集状态,缺失模块,房型数量,售卖方案数量,原因代码,原因说明,待补采,补采状态,记录时间,入住日期,离店日期,详情URL
491,10019235,素坤逸2巷贝斯特韦斯特SureStay Plus酒店(SureStay Plus Hotel by Best Western Sukhumvit 2),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:40:28,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
463,100344790,玫瑰苹果酒店(Rose Apple Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:30:58,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100344790&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
213,100474915,greet 曼谷素坤逸16号 Jono 酒店(greet Bangkok Sukhumvit 16 Jono),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:08:25,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100474915&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
613,100811418,曼谷卡萨17号酒店(Casa 17 Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:54:30,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=100811418&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
260,101212523,天阁胶囊酒店(Tiang Capsule),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:29:43,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101212523&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
627,101482459,ABC@48酒店及服务式公寓(ABC@48 Hotel & Service Apartment),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:58:06,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=101482459&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
629,103565011,曼谷班加隆酒店(Benjarong Hotel Bangkok),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-04 01:58:27,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103565011&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
253,103861260,丽丽特邦伦普酒店-靠近考山路(Lilit Bang Lumphu Hotel),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 21:27:36,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=103861260&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
342,104262057,健康酒店-素坤逸107号(Wellness Stay & Hotel Sukhumvit 107),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-08-31 22:07:11,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=104262057&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
496,105245955,贝斯特韦斯特乍都乍酒店(Best Western Chatuchak),部分完成,房型|售卖方案|房型图片,0,0,203,携程对应接口返回 203，已跳过不可信模块,是,待补,2026-09-01 02:41:50,2026-09-28,2026-09-29,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105245955&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
