发现序号,酒店ID,酒店名称,列表价格,评分,点评数,星级/钻级,地址/区域,详情URL,列表原始URL,发现来源,首次发现轮次,首次发现时间
1,119980315,曼谷都喜天丽酒店(Dusit Thani Bangkok),472,4.7,637,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png', 'superStar': 1}",使馆区域 · 近伦披尼公园,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=119980315&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/119980315.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
2,132914314,曼谷城市拉玛九酒店(Bangkok City Rama 9 Hotel),472,4.3,1082,,拉查达比瑟区 · 近素坤逸地铁站,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=132914314&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/132914314.html,DOM链接|DOM属性,1,2026-08-30 19:57:45
3,130385395,黄金帝国素万那普酒店(Golden Empire Suvarnabhumi Hotel),472,4.2,653,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",邦帕利 · 素万那普国际机场 · 近美加邦纳,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=130385395&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/130385395.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
4,119966068,曼谷奈乐安缦(Aman Nai Lert Bangkok),472,4.7,49,5,齐隆 · 使馆区域,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=119966068&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/119966068.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
5,105726959,曼谷山燕都喜酒店(dusitD2 Samyan Bangkok),472,4.5,1167,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",近帕蓬夜市 · 王权大京都大厦,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=105726959&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/105726959.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
6,133908707,中国大酒店 (曼谷唐人街店)(Chinatown Hotel (Bangkok Chinatown Branch)),472,4.8,244,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",近唐人街夜市 · 大皇宫,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=133908707&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/133908707.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
7,1340740,云朵客栈酒店(近辉煌夜市|中文服务|客房独立阳台)(LNN of Yunduo Hotel),472,4.6,251,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",近惠恭王夜市 · S2O Songkran Music Festival,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1340740&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/1340740.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
8,1517796,"曼谷维伊 - 美憬阁酒店(VIE Hotel Bangkok, MGallery Hotel Collection)",472,4.5,740,"{'star': 5, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond5_20180824.png'}",暹罗 · 水门市场,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1517796&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/1517796.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
9,1489251,曼谷铂尔曼G酒店(Pullman Bangkok Hotel G),472,4.3,1207,5,近朱拉隆功大学 · 王权大京都大厦,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=1489251&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/1489251.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/getAdHotels|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
10,97104193,卡拉罗姆酒店(Karaarom Hotel),472,4.6,521,"{'star': 4, 'starType': 0, 'starIconUrl': 'https://webresource.c-ctrip.com/ResH5HotelOnline/R1/hotel_detail_icon_diamond4_20180824.png'}",素坤逸 · 近鹏蓬地铁站,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=97104193&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg,https://hotels.ctrip.com/hotels/97104193.html,DOM链接|DOM属性|网络响应:https://m.ctrip.com/restapi/soa2/34951/fetchHotelList,1,2026-08-30 19:57:45
