酒店ID,图片ID,图片类型,房型ID,房型名称,点评ID,图片序号,图片URL,来源URL
10019235,dom_img_t5pa0b,酒店展示图,,,,1,https://dimg04.c-ctrip.com/images/022571200090x9xa4F6BE_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_84zn8j,酒店展示图,,,,2,https://dimg04.c-ctrip.com/images/1mc2j12000aihhw6w9EF1_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_vpqapy,酒店展示图,,,,3,https://dimg04.c-ctrip.com/images/1mc2512000aihi5ph34D2_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_cpkte0,酒店展示图,,,,4,https://dimg04.c-ctrip.com/images/1mc6612000aihfntc4144_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_in8gne,酒店展示图,,,,5,https://dimg04.c-ctrip.com/images/1mc1t12000aihfqr25E19_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_s1ci3q,酒店展示图,,,,6,https://dimg04.c-ctrip.com/images/1mc6r12000aihmjmbB81C_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_xfx0ej,酒店展示图,,,,7,https://dimg04.c-ctrip.com/images/1mc0b12000aihmhgp6782_W_1280_853_R5_Q70.jpg,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_wfenp7,设施展示图,,,,9,https://dimg04.c-ctrip.com/images/220r0n000000egqgv5F2E_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_1y0540,设施展示图,,,,10,https://dimg04.c-ctrip.com/images/022431200090xa2hx0C19_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
10019235,dom_img_v3clin,设施展示图,,,,11,https://dimg04.c-ctrip.com/images/220w0n000000eobn4A9FA_R_600_360_R5.webp,https://hotels.ctrip.com/hotels/detail/?cityEnName=Bangkok&cityId=359&hotelId=10019235&checkIn=2026-09-28&checkOut=2026-09-29&adult=1&children=0&crn=1&ages=&curr=CNY&barcurr=CNY&hotelType=normal&display=incavg
