行政区,POI业务类型,POI名称,POI细分类型,外文/地图名,地理位置描述,游客需求场景,名称直接命中帖子数（非热度）,来源阶段,证据URL,证据内容,重要口径
巴蜀府,购物商业,蝉创意夜市(Cicada Market),夜市与市集,Cicada Market,华欣市区 23 巷；市区,夜市逛吃/本地体验,7,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a87d0ea0000000032020e28?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6e10040000000005032694?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6827fb55000000002202fcb5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a745624000000000c003000?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68efa9f700000000070310ca?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：泰国🇹🇭华欣自驾游
正文：蝉创意夜市(Cicada Market)
周五至周日开放，就在罗望子隔壁，一条小马路之隔。每次在隔壁吃完东西都会过来走走逛逛，女孩子特别喜欢，每次都能买到一些喜欢的小物件。
餐厅、咖啡馆
Amore Beach Café （七岩）
Coffee@Sea   （七岩）
Bonnie on the beach （七岩与华欣中间）
CSCA MARE Café & Restaurant （Bonnie隔壁）
Mantaray Café Huahin Coffee & Bakery （华欣皇后公园附近）
Big Fish & Bar  （万豪酒店内）

「2*混合贴」
标题：华欣，总要自己走一趟
正文：下午继续沙滩🏖️，晚上cicada market，比起第一天的夜市环境更舒服，餐品更正式，价格我觉得差不多，没注意，内圈是餐饮，外圈是创意手工或饰品。
第三天早上继续沙滩🏖️🏖️，退房吃饭回曼谷

总结: 小城市，去哪里打车都十分钟，真的很方便，物价也不高，海也干净，悠哉悠哉的玩几天完全可以呀！孩子都说想再来！如果有时间，我也想再来！#huahin[话题]# #泰国华欣攻略[话题]# #泰国华欣阿玛瑞[话题]##泰国华欣海滩[话题]# #华欣蝉夜市[话题]# #华欣Tamarind夜市[话题]# #华欣打卡[话题]#

「3*混合贴」
标题：泰国华欣🇹🇭必打卡海边咖啡厅
正文：🗺️Cicada Market夜市旁边的23巷
🍛食物挺好吃的，价格也不算贵

「4*混合贴」
标题：📍听我一句，来华欣一定不要只去热门景点！
正文：🎨 晚上一定要逛 Cicada Market（蝉鸣创意夜市）
这里不像一般夜市，更像一个充满艺术气息的市集。有手作、小众饰品、文创商品，还有街头表演，边逛边听音乐，氛围超级舒服。

「5*混合贴」
标题：🌴 华欣慢游指南
正文：Cicada Market：文青最爱！手作饰品",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,购物商业,华欣夜市,夜市与市集,Hua Hin Night Market,华欣市中心；市区,夜市逛吃/本地体验,9,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a87d0ea0000000032020e28?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69d083ee000000001a0279be?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/68efa9f700000000070310ca?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69888aee0000000015021a13?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a85c99e000000003400e2fd?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：泰国🇹🇭华欣自驾游
正文：华欣夜市(Hua Hin Night Market)
位于市中心的综合性市场，第一次来华欣可以好好逛逛。

「2*混合贴」
标题：曼谷周边3h直达，🇹🇭皇室私藏的海滨小城！
正文：📍华欣夜市💰
不像曼谷夜市那么游客感
这里该有的都有，很好逛很好买！
BBQ、椰子糕、芒果糯米饭、打抛饭、竹编商品
记得砍价～这是旅游的乐趣之一…嘻嘻
夜市越夜越热闹🔥

「3*混合贴」
标题：🌴 华欣慢游指南
正文：华欣夜市：更传统

「4*混合贴」
标题：泰兰德🇹🇭曼谷+华欣7天6晚亲子游攻略
正文：2⃣️曼谷-丹嫩沙多水市场-华欣火车站-华欣夜市

「5*混合贴」
标题：泰国华欣3天2夜保姆级攻略｜人均1k慢节奏
正文：▫️常规华欣夜市：每日营业，游客较多，必入手手工贝壳首饰
▫️周二限定本地夜市：本地人聚集地，商业化套路更少
平价泰式小吃、新鲜海鲜、复古二手杂货应有尽有，物价远低于曼谷，伴手礼可以放心囤",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,购物商业,罗望子夜市(Tamarind Market),夜市与市集,Tamarind Market,华欣市区；市区,夜市逛吃/本地体验,5,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a87d0ea0000000032020e28?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a6e10040000000005032694?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a745624000000000c003000?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a85644f000000003300e3e5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a74644b000000003302e5c8?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：泰国🇹🇭华欣自驾游
正文：罗望子夜市(Tamarind Market)
周四至周日开放，主打各色小吃，提供干净的座位以及乐队驻唱，女儿非常喜欢这个夜市的食物，最近每次来必去。

「2*混合贴」
标题：华欣，总要自己走一趟
正文：晚上tamarind market，小吃会更多一些，价格也不便宜，卫生也就一般般，披萨很不错，孩子很喜欢吃烤串！
第二天早餐后(阿玛瑞的早餐还是挺丰富的)，去火车站🚉看到了猴子自由行动，还有正在维修的火车头，火车站很小，小朋友很喜欢！当然蚊子🦟也很喜欢我们，小朋友受不了！
走去了老城区吧，十五分钟左右，想找人工编制店，找不到放弃，看到了网红餐厅正盛！下次再来吃！
太热了，去vintage market避暑，负一楼的美食广场真的价廉物美！！何必去外面暴晒受罪！只是没啥逛的哦

「3*混合贴」
标题：📍听我一句，来华欣一定不要只去热门景点！
正文：🍜 旁边就是 Tamarind Market（罗望子夜市）
如果你是吃货，一定不能错过！各种泰国小吃、海鲜、果汁、甜品应有尽有，买好美食坐下来，一边听现场音乐一边享受夜晚，真的很放松。

「4*混合贴」
标题：华欣夜市〡2个属于游客类型的夜市对比
正文：[二R]Tamarind夜市（周四-周日）
游客类型夜市。以吃为主，有band演唱。较cicada来说，tamarind可吃性高一些。但物价都是属于游客level，不是本土化的。
[打卡R][打卡R][打卡R][打卡R]

「5*混合贴」
标题：华欣，我会二刷的
正文：2. Tamarind Market：周四至周日 17:00-23:00，主打平价街头美食，有 Live Band 演出。",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,购物商业,周二夜市,夜市与市集,Tuesday Night Market,华欣市区,夜市逛吃/本地体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/68de8d8f000000000302ee54?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：泰国行Day3-4华欣
正文：4. 周二夜市：一个只有周二18:00才开的本地夜市，人群熙熙攘攘，小吃琳琅满目，价格实实在在，看到很多本地人都是打包回去吃，但卫生状况不好恭维，摩托大军有点恐怖",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
巴蜀府,购物商业,周二夜市(Phae Mai Market),夜市与市集,Phae Mai Tuesday Market,市区,夜市逛吃/本地体验,6,20260831小红书点点AI增量采集,"https://www.xiaohongshu.com/explore/6a903070000000001803db49?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/699be326000000000903a23a?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a7b2ff20000000022012039?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a85644f000000003300e3e5?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/6a74644b000000003302e5c8?xsec_token_redacted=1&xsec_source=pc_dots","「1」
标题：🇹🇭泰国夜市体验🍤丨清迈丨华欣丨曼谷
正文：一直念念不忘泰国的夜市，这次当然也不能错过

[打卡R]清迈
[探店R]周日夜市[星R][星R][星R][星R][星R]
十年前去过周日夜市，特别喜欢，这次行程只有一个周日，果断安排在清迈。
周日夜市非常大，我们只逛了一小部分，因为后面要去做马杀鸡，没太多时间了。
周日夜市的价格不算高，但的确也不算接地气，毕竟现在是游客为主了，比十年前商业气息更重一些，餐饮摊位都集中在了几个区域。然后就是卖东西的摊位，还有露天马杀鸡（180🐷1h），除了图片里的小吃，我们还买了烤牛肉100🐷，炒粉50🐷等。
很火的香蕉奶奶在古城外（每天19点后出摊），我们去马杀鸡的路上正好经过，但因为排队就没买，如果有时间的话建议尝尝，20🐷起。

[打卡R]华欣
[探店R]周二夜市[星R][星R][星R][星R]
我们在华欣住周二周三两晚，几个知名夜市都不开。但正好赶上了周二夜市，简直不要太棒。
周二夜市是这次逛的所有夜市里最接地气、物价最亲民的。这个夜市是当地人的夜市，还有卖菜卖水果的摊位，小吃也很多，冰沙25🐷，烤猪肉鸡肉10🐷一串，牛肉20🐷一串，寿司5🐷10🐷一个，罗氏虾大中小分别300🐷180🐷100🐷。但卖纪念品的摊位东西都很一般。

[打卡R]曼谷
曼谷本来想去蓝甘杏夜市，但因为有点远就没专门去，后来因为行程顺路去了三家夜市
[探店R]水门夜市[星R][星R]
就在我们酒店楼下，所以逛逛，不建议专门去。属于曼谷比较接地气的夜市，有点混乱，芒果糯米饭60🐷，果汁50-60🐷，小包冰箱贴大象钥匙扣等纪念品好多都是一口价100🐷，这里有一些成人用品摊位和绿叶子店，要注意~
[探店R]摩天轮夜市[星R][星R][星R]
为了坐船夜游湄南河，所以去了摩天轮码头，顺便逛了这个夜市，这里属于商业化非常严重的夜市，东西也都不便宜，很多餐厅酒吧，还有个big c可以采购零食，还有各种零食店、名创优品等等，挺好逛。但不是泰国那种本土夜市的感觉。
[探店R]朱拉隆功夜市[星R][星R][星R]
去朱拉隆功大学参观，晚上约的spa，中间时间就去朱拉隆功夜市打发时间+吃晚饭，这里与其说是夜市，不如说是美食街，有很多店面，也有夜市摊位的街道。摊位小吃价格，一只鱿鱼300🐷，一小碗章鱼仔100🐷，草莓刨冰199🐷，芒果刨冰249🐷。牛奶小子味道不错，牛奶一杯55🐷，中份烤面包105🐷。斜对面的水果店倒是挺便宜，黑刺榴莲3小块190🐷。

#泰国夜市[话题]# #清迈周日夜市[话题]# #华欣周二夜市[话题]# #曼谷摩天轮夜市[话题]# #曼谷朱拉隆功夜市[话题]#

「2」
标题：曼谷2026最新本地人夜市‼️Bangna区域不远
正文：如果你已经去腻了 Asiatique、Jodd Fairs，
那这个真的可以存起来。
📍2026年刚开的 —— Save One GO Night Market（Bangna新据点）
目前游客还不多，本地人比例超高，是那种“真正给曼谷人逛”的夜市。

为什么觉得它会火？
它不是那种观光型夜市，而是：
✔ 超大场地
✔ 动线舒服不拥挤
✔ 价格还是泰国本地铜板价
✔ 真的好吃，不是专门卖给游客的味道
有点像传统ตลาด + 大型夜市结合升级版。

现场踩点真实感受
✨ 超过 200+ 攤泰式小吃
✨ 很多IG爆款小摊，但价格没被炒高
✨ 服饰、手作、生活用品区都很完整
✨ 座位区超大，朋友聚餐很爽
✨ 5泰铢瓶装水区（这点真的很泰国 😂）
✨ 还有免费流动厕所（细节加分）
逛起来很舒服，不会像市中心夜市那样被挤到怀疑人生。

行程怎么安排最顺？
它在 Bangna 区，离 Central Bangna 不远。
白天可以去：
📍Ancient City（暹罗古城）
或者商场吹冷气
傍晚直接来夜市续摊，一整天行程顺到不行。
而且距离
✈️ Suvarnabhumi Airport 约25分钟车程
最后一晚再冲一波夜市也完全OK。

📍 Save One GO Market – Bangna
🕑 每日 14:00–23:00
📍 1646 Debaratna Rd, Bang Na Tai, Bang Na, Bangkok 10260
🚇 MRT黄线 Si Lam 站 4号出口步行约10分钟
🚕 或直接打车更方便

说真的，这个现在还算“早鸟阶段”。
如果你想去一个游客还没完全攻占的曼谷夜市，
Save One GO 可以冲。
我这趟是为了找新灵感，结果挖到宝 😂
后面再给你们整理几家我觉得值得专门飞去吃的小摊。
#曼谷美食[话题]# #泰国旅行[话题]# #集市[话题]# #笔记灵感[话题]# #泰国菜[话题]# #夜市[话题]# #夜市里的烟火气街头美食[话题]# #泰国旅游[话题]# #泰国菜餐饮培训[话题]# #曼谷探店[话题]#

「3」
标题：泰国南部｜｜华欣周二夜市
正文：素万那普机场落地后，可以到一楼8号门旁边购买岛华欣的豪华🚌。

其实也不是第一次来华欣，但距离上次已经很遥远了，记得六七个好友那时候第一次异国出游，嘻嘻呜呜坐着硬皮火车，时间很久也不觉得累。果然出游还是要趁年少时。

我的飞机是红眼航班，在机场熬到早上直接买了最早6:30的那一班。相对于火车，机场大巴是有点贵。但超值，大巴很豪华，可以放平补觉，车上还有厕所。

可能是早班车，3个小时就到了华欣，然后说好免费的接驳车到钟楼呢？根本没有，只好100泰铢接驳车直接送酒店。

我的酒店就在Market village 旁边，性价比不高，我认为价格和硬件软件都匹配不上。

没到Check in 时间，于是到旁边Market village 逛了下，然后回来补觉到下午。

查了下攻略，可以坐绿皮双条车沿马路两个不同方向穿梭。基本上都是本地人乘坐的。今天刚好周二，有周二的本土夜市，于是坐着双条车，就出发了。随上随下的。我刚开始搞错了以为夜市就离主路不远，没想到还要走上十几分钟。脚累呀。

夜市是真大。要啥有啥，主要还是泰国当地的一些特色小吃。价格也实惠，榴莲真的80泰铢一公斤，不买对不起这个价格呀。而且好多热量爆棚的炸物。

我很奇怪，为什么泰国本土那么多大大小小的夜市，当地人还很喜欢逛。人流涌动里确实感受到了温暖的人间烟火气。夜市里有位置可以坐下吃，还会驻唱歌手，还真挺热闹的。

「4*混合贴」
标题：华欣夜市〡2个属于游客类型的夜市对比
正文：[一R]Phae Mai Market（每周二）
本地人更多，好多学生放学都来这。吃的种类非常多。物美价廉，属于本地人消费物价水平。晚上有band唱歌。旁边还有水果蔬菜摊位，可买性很高。
[打卡R][打卡R][打卡R][打卡R]

「5*混合贴」
标题：华欣，我会二刷的
正文：3. Pae Mai Tuesday Market（周二夜市）：仅周二傍晚开放，本地人为主，品种多价格实惠。
4.  华欣中心夜市（Hua Hin Night Market）：每日 17:00-24:00 左右，传统游客夜市，海鲜、小吃、纪念品都有。

货币：多备一些现金，夜市硬通货，不够就谷歌地图搜 money exchange 带护照换汇。",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
北碧府,购物商业,桂河夜市,夜市,Kwai River Night Market,桂河大桥附近,傍晚游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/69046ffe0000000004000821?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：北碧府：泰国的宁静绿洲
正文：北碧府还有桂河夜市和火车站夜市 没时间去了 感兴趣的话可以搜搜具体开放时间以及地址

爱侣湾瀑布：Erawan National Park อุทยานแห่งชาติเอราวัณ
超级推荐的瀑布 可以游泳和徒步
一共有7层 越往上走水越清 水里还有很多小鱼 可以做免费鱼疗
需要从大巴站做大巴2h过去60bath 时刻表可以自主查询 大巴直接送到门口 回程也是在下车点上车
尽量赶早一点的时间去 因为爱侣湾3点就不能进入
可以自带食物去爱侣湾一二层野餐（垃圾记得收走）三层以上不能带食物
需要现金租救生衣 记得带现金
景区门口有店铺可以寄存 里面没有寄存点 景区门口有可以洗澡和换衣服的地方
坐最晚一班回程到北碧府大巴站大概六点过 可以直接买回曼谷的车票
尽量不要雨季去 因为下了雨之后水会非常浑浊
门票300baht 学生半价

北碧府特别适合周末来放松放松 最好留出2-3天时间来玩
另外北碧府还有死亡铁路 如果感兴趣可以在曼谷坐火车去死亡铁路",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,购物商业,桑卡武里县夜市,夜市,Sangkhla Buri Walking Street,孟族村附近,过夜游客,1,20260901二三线目的地缺口续采,https://www.xiaohongshu.com/explore/6852ada4000000002400ed0f?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：全网首发，泰国北碧府3天2夜自助游攻略
正文：Sangkhla Buri Walking Street（桑卡武里县夜市）
Songkalia Bridge（孟族木桥）",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,购物商业,JJ火车夜市,夜市,JJ Night Market Kanchanaburi,火车站附近,傍晚游客,2,20260901二三线目的地缺口续采,"https://www.xiaohongshu.com/explore/6a510fbf0000000017008e06?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/67e40184000000001d018e56?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：北碧府3天2晚！桂河大桥、爱侣瀑布、死亡铁路一站打卡
正文：JJ Night Market Kanchanaburi对马路的711超市门口，坐蓝色巴士，直达📌Erawan Water Fall，车程约1.5小时，单程车费80泰铢，尽量赶早去吧（例如09:40班次）。爱侣瀑布共7层，建议直接先到第七层再逐层往下逛，可以直接穿运动鞋徒步，下水玩的话鞋子脱一边就行了，救生衣只能在一层租赁（20泰铢/2小时）。
回程末班车约16:30，提前候车不然没有座位。💰爱侣瀑布，外国人门票300泰铢
Day 3：死亡铁路悬崖段→曼谷
坐10:30火车去Tham Kra Sae段，体验贴着悬崖行驶的“死亡铁路”。去程靠左，回程靠右才能看到悬崖景观。下午13:28火车直达曼谷吞武里站(Thon Buri)💰票价约100泰铢，可上车买票。

「2*混合贴」
标题：🇹🇭北碧府四天三夜背包旅行攻略—P1
正文：推荐美食：JJ火车夜市（JJ Night Market，用谷歌地图导航）
物价友好：10泰铢一袋新鲜水果，当地泰式美食品种繁多，令人眼花缭乱。
特色体验：在夜市逛累了，可以体验露天马杀鸡Thai Love Massage，100泰铢/30分钟，遇到技师姐姐手法好，特别解乏。",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
北碧府,购物商业,北碧府火车站夜市,夜市与市集,Kanchanaburi Night Market,桂河,夜市逛吃/本地体验,1,20260831小红书点点AI增量采集,https://www.xiaohongshu.com/explore/6989f632000000001d012071?xsec_token_redacted=1&xsec_source=pc_dots,"「1*混合贴」
标题：曼谷周边｜小众宝藏地北碧府2日游攻略
正文：Day1: 曼谷[向右R]死亡铁路[向右R]虎窟寺[向右R]稻田咖啡[向右R]北碧府火车站夜市+马杀鸡",小红书名称候选；名称证据不是游客热度，尚未核验Place ID、坐标、地址、营业状态或评分
春蓬府,购物商业,春蓬夜市,夜市,Chumphon Night Market,Aphakornkiatiwong Park公园门口,美食爱好者,3,20260901二三线目的地缺口续采,"https://www.xiaohongshu.com/explore/69c11256000000002301534c?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/69a82d160000000022023db8?xsec_token_redacted=1&xsec_source=pc_dots
https://www.xiaohongshu.com/explore/65df30730000000003036527?xsec_token_redacted=1&xsec_source=pc_dots","「1*混合贴」
标题：未被“网红化”的泰国/春蓬府
正文：春蓬夜市能看到一些外国游客，我在夜市吃到了人生第一次榴莲，好像也没以前那么抗拒了。而且我发现春蓬真的很多蟑螂，在街道上走每一段路都能看到🪳乱串[汗颜R]反而著名的蟑螂之都槟城我一只🪳都没见到[笑哭R][笑哭R][笑哭R]
本来想着在春蓬多留两天出岛玩，参考着一些博主找私人渔民带出海，但天气实在不好，阵雨、风浪大，没有小船肯出海～那就顺应天意，在酒店游个泳出发下一站———拉廊[派对R]

「2*混合贴」
标题：🇹🇭春蓬｜三天三夜吃喝住行全攻略
正文：📍春蓬夜市（非周末夜市）
Aphakornkiatiwong Park公园门口的两个水果摊
莲雾新鲜，清爽脆甜，60฿/kg
榴莲，7-11门口的一个老爷子的摊
100฿/kg(听说榴莲季更便宜）

这个夜市里你们就尽量吃吧
没啥踩雷的

「3*混合贴」
标题：泰国小众地春蓬🇹🇭千字旅游攻略真心大放送
正文：1️⃣春蓬夜市：以小吃为主，可以在夜市上买到榴莲和好吃的芒果糯米饭，
-",名称在本题引用小红书正文中直接命中；该计数用于名称证据审核，不代表全网提及量或游客热度
