泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包,泰国行政区划中泰双语与地图边界数据包
生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制,生成日期：2026-08-25｜面向海外旅游业务检索、级联筛选、地图着色和区域绘制
,,,,,,,,,
交付结论,交付结论,交付结论,交付结论,交付结论,交付结论,交付结论,交付结论,交付结论,交付结论
层级口径,"国家1；府/特别行政区77；县/曼谷区928；乡/曼谷分区7,436；村级官方总数75,693。",,,,,,,,
地图边界,ADM0—ADM3均提供WGS84 GeoJSON；村级提供可匹配点位，不提供全国统一村界。,,,,,,,,
中文覆盖,府级77条和县区928条已有中文名；乡/分区仅保留可靠中文标签，其余使用英文回退并标记待本地化。,,,,,,,,
Google限制,Google DDS在泰国只原生支持国家与ADM1；县、乡/分区请加载本包GeoJSON。,,,,,,,,
,,,,,,,,,
文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式,文件与使用方式
文件类型,文件名,建议用途,,,,,,,
Excel,泰国行政区划_中泰双语_20260825.xlsx,业务评审、字段查看、筛选,,,,,,,
CSV,泰国_ADM0—ADM3_*.csv,数据库导入、ETL,,,,,,,
CSV,泰国_ADM4_村级名录与点位_202512.csv,村级搜索、点标记,,,,,,,
GeoJSON,泰国_ADM0—ADM3_*边界.geojson,Google Maps Data图层绘制,,,,,,,
GeoJSON,泰国_ADM4_村级可匹配点位.geojson,村庄Marker/聚合,,,,,,,
,,,,,,,,,
质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。,质量提醒：行政边界适合旅游内容筛选与可视化，不适合作为土地权属、测绘、法务或政府申报依据；这些场景必须以泰国主管机关最新权威边界复核。
