泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）,泰国村级样例（ADM4/村）
"按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV","按76个非曼谷府各抽5条，共380条；完整75,653条请使用同目录CSV"
,,,,,,,,,,,,,,,,,,,,,,,,
国家代码,行政层级,行政层级中文,村代码,上级乡级代码,上级县区代码,上级府级代码,中文名称,泰文名称,英文名称,中文名状态,上级乡泰文,上级县区泰文,上级府泰文,中心纬度,中心经度,坐标状态,男性人口,女性人口,总人口,户数,边界状态,数据时点,名称代码来源,点位来源
TH,4,村,11010201,110102,1101,11,,ลิขิต,,村级暂无可靠中文标准名,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,,,未匹配公开点位,3625,4153,7778,2677,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,11010202,110102,1101,11,,ทหารเรือ,,村级暂无可靠中文标准名,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,,,未匹配公开点位,1955,2234,4189,1731,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,11010203,110102,1101,11,,หัวป่า,,村级暂无可靠中文标准名,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,,,未匹配公开点位,3740,4209,7949,3451,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,11010204,110102,1101,11,,ใหญ่,,村级暂无可靠中文标准名,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,,,未匹配公开点位,4301,4755,9056,3994,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,11010205,110102,1101,11,,คลองกระทุ่ม,,村级暂无可靠中文标准名,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,,,未匹配公开点位,2392,2818,5210,7746,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,12010104,120101,1201,12,,หมู่ที่ 4,,村级暂无可靠中文标准名,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,,,未匹配公开点位,0,0,0,1,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
TH,4,村,12010109,120101,1201,12,,หมู่ที่ 9,,村级暂无可靠中文标准名,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,,,未匹配公开点位,0,0,0,1,全国统一村界未公开；仅点位,2025-12,DOPA人口登记年度文件,GISTDA历史公开村庄点图层（匹配到现行村代码时使用）
