国家代码,行政层级,行政层级中文,行政区代码,上级行政区代码,中文名称,泰文名称,英文名称,中文显示名,中文名状态,中心纬度,中心经度,西界经度,南界纬度,东界经度,北界纬度,面积平方公里,邮政编码,边界状态,边界文件,边界要素ID,边界坐标系,边界数据时点,Google原生边界支持,Google地图绘制方式,Wikidata网址,名称与代码来源,中心点来源,边界来源
TH,1,府/特别行政区,10,TH,曼谷,กรุงเทพมหานคร,Bangkok,曼谷,府级中文名人工校核,13.7243641,100.6030293,100.3279124,13.4933896,100.9385163,13.9512033,1571.3713485,10,可绘制,泰国_ADM1_府级边界.geojson,TH10,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q1861,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,11,TH,北榄府,สมุทรปราการ,Samut Prakan,北榄府,府级中文名人工校核,13.5983054,100.7196699,100.4536934,13.4784203,100.9558207,13.6969034,949.0011125,10,可绘制,泰国_ADM1_府级边界.geojson,TH11,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q271529,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,12,TH,暖武里府,นนทบุรี,Nonthaburi,暖武里府,府级中文名人工校核,13.9645956,100.3839519,100.2761226,13.8002331,100.5675484,14.1268819,636.5429129,11,可绘制,泰国_ADM1_府级边界.geojson,TH12,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q242932,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,13,TH,巴吞他尼府,ปทุมธานี,Pathum Thani,巴吞他尼府,府级中文名人工校核,14.0961028,100.6277449,100.3440402,13.9162544,100.9511181,14.2716842,1517.3866435,12,可绘制,泰国_ADM1_府级边界.geojson,TH13,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q459748,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,14,TH,大城府,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,大城府,府级中文名人工校核,14.3921219,100.5366205,100.2129004,14.1150305,100.8214989,14.6699196,2553.3609525,13,可绘制,泰国_ADM1_府级边界.geojson,TH14,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q476222,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,15,TH,红统府,อ่างทอง,Ang Thong,红统府,府级中文名人工校核,14.6207273,100.3505553,100.1917327,14.4595048,100.5034138,14.7950455,944.2169179,14,可绘制,泰国_ADM1_府级边界.geojson,TH15,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q243795,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,16,TH,华富里府,ลพบุรี,Lopburi,华富里府,府级中文名人工校核,15.1990478,100.976744,100.4274874,14.6550507,101.4035563,15.7530215,6491.8163116,13|15|18,可绘制,泰国_ADM1_府级边界.geojson,TH16,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q336122,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,17,TH,信武里府,สิงห์บุรี,Sing Buri,信武里府,府级中文名人工校核,14.9207672,100.3041347,100.2026951,14.7210964,100.4579401,15.1184098,818.1922281,16,可绘制,泰国_ADM1_府级边界.geojson,TH17,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q334836,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,18,TH,猜纳府,ชัยนาท,Chai Nat,猜纳府,府级中文名人工校核,15.1622754,100.0337122,99.7237701,14.9069665,100.3515244,15.4173574,2486.5678177,17,可绘制,泰国_ADM1_府级边界.geojson,TH18,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q459759,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,1,府/特别行政区,19,TH,北标府,สระบุรี,Saraburi,北标府,府级中文名人工校核,14.658906,100.9186659,100.6022849,14.2427464,101.4501567,15.0737928,3481.7596324,18,可绘制,泰国_ADM1_府级边界.geojson,TH19,WGS84 / EPSG:4326,2019-02-21,支持,可用Google DDS按Place ID着色；或加载本GeoJSON,http://www.wikidata.org/entity/Q337627,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
