国家代码,行政层级,行政层级中文,行政区代码,上级行政区代码,中文名称,泰文名称,英文名称,中文显示名,中文名状态,中心纬度,中心经度,西界经度,南界纬度,东界经度,北界纬度,面积平方公里,邮政编码,边界状态,边界文件,边界要素ID,边界坐标系,边界数据时点,Google原生边界支持,Google地图绘制方式,Wikidata网址,名称与代码来源,中心点来源,边界来源
TH,2,县/曼谷区,1001,10,拍那空县,พระนคร,Phra Nakhon,拍那空县,Wikidata已有中文名,13.755672,100.4968833,100.4882993,13.7386326,100.5093992,13.7726657,5.389902,,可绘制,泰国_ADM2_县区边界.geojson,TH1001,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1525441,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1002,10,都实县,ดุสิต,Dusit,都实县,Wikidata已有中文名,13.7764786,100.5146259,100.4990398,13.7527327,100.5374243,13.8003581,11.3679632,,可绘制,泰国_ADM2_县区边界.geojson,TH1002,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1267640,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1003,10,农卓县,หนองจอก,Nong Chok,农卓县,Wikidata已有中文名,13.8422659,100.8582344,100.792593,13.7378772,100.9308519,13.9464909,237.5166209,,可绘制,泰国_ADM2_县区边界.geojson,TH1003,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1839285,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1004,10,挽叻县,บางรัก,Bang Rak,挽叻县,Wikidata已有中文名,13.728179,100.5261574,100.5120317,13.7193356,100.5447454,13.7380467,4.0321894,,可绘制,泰国_ADM2_县区边界.geojson,TH1004,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q302711,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1005,10,挽卿县,บางเขน,Bang Khen,挽卿县,Wikidata已有中文名,13.8712484,100.6362962,100.5865472,13.8439291,100.6844965,13.8997798,40.8409322,,可绘制,泰国_ADM2_县区边界.geojson,TH1005,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q806443,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1006,10,邦甲比县,บางกะปิ,Bang Kapi,邦甲比县,Wikidata已有中文名,13.7790033,100.6407572,100.6012518,13.7383853,100.6646244,13.8173987,27.5572288,,可绘制,泰国_ADM2_县区边界.geojson,TH1006,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q806445,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1007,10,巴吞旺县,ปทุมวัน,Pathum Wan,巴吞旺县,Wikidata已有中文名,13.7379046,100.5337048,100.5156878,13.7227716,100.5529123,13.7530999,8.0367905,,可绘制,泰国_ADM2_县区边界.geojson,TH1007,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1025838,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1008,10,邦巴沙都拍县,ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,邦巴沙都拍县,Wikidata已有中文名,13.7509297,100.5110369,100.5038982,13.7380467,100.5173715,13.7636508,2.5004548,,可绘制,泰国_ADM2_县区边界.geojson,TH1008,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1019440,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1009,10,拍昆仑县,พระโขนง,Phra Khanong,拍昆仑县,Wikidata已有中文名,13.6923792,100.6125199,100.5839195,13.677941,100.640236,13.7065093,13.1938865,,可绘制,泰国_ADM2_县区边界.geojson,TH1009,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q473316,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
TH,2,县/曼谷区,1010,10,民武里縣,มีนบุรี,Min Buri,民武里縣,Wikidata已有中文名,13.8111477,100.750215,100.6967759,13.7781138,100.798996,13.8492897,60.4052481,,可绘制,泰国_ADM2_县区边界.geojson,TH1010,WGS84 / EPSG:4326,2019-02-21,泰国不支持ADM2,加载本GeoJSON到Google Maps Data图层,http://www.wikidata.org/entity/Q1936178,DOPA现行结构 + canonical v1.0.2,Royal Thai Survey Department / HDX,RTSD/OCHA衍生简化边界（canonical package）
